split,quintile,rows,commercial_share_mean,after_index_mean,after_index_median
pooled,1,47044,0.0,89.52235562668504,56.46314279499788
pooled,2,47044,0.0024900143846770667,87.1802308938605,56.107310024981196
pooled,3,47044,0.008255625905836854,106.59029205782015,68.47422537134378
pooled,4,47044,0.0183242633356292,112.45587330157339,73.81722597079838
pooled,5,47044,0.05685829102094854,119.73220040272794,79.22086834696236
direct_city_incident,1,2496,0.0,113.08036957732664,69.13624965685918
direct_city_incident,2,2526,0.0026168410068742663,132.73530531051455,86.46118231827671
direct_city_incident,3,2890,0.00824909578973498,134.89798552816245,89.85093798636765
direct_city_incident,4,2905,0.01829224523165618,129.27703417897342,86.09212014403624
direct_city_incident,5,2542,0.05829026515369153,130.76905148304397,84.69718811476898
modeled_transfer,1,44548,0.0,88.2024130294685,55.850874358676194
modeled_transfer,2,44518,0.0024828181034499196,84.59538615742876,54.68292575466254
modeled_transfer,3,44154,0.008256053319786539,104.73747613787428,67.072278368681
modeled_transfer,4,44139,0.018326370601132305,111.34879175580099,72.70981834782019
modeled_transfer,5,44502,0.05677649518603252,119.10176412017513,78.82876769020595
