split,quintile,rows,commercial_share_mean,after_index_mean,after_index_median
pooled,1,47044,0.0,86.68759768664528,54.27338163917846
pooled,2,47044,0.0024900143846770667,82.87862361440803,54.10505475704419
pooled,3,47044,0.008255625905836854,102.11514871699814,65.4387106385781
pooled,4,47044,0.0183242633356292,109.8618709752455,72.16157870490402
pooled,5,47044,0.05685829102094854,124.10828893805717,82.95801859477783
direct_city_incident,1,2494,0.0,112.7299610501673,69.8036496556546
direct_city_incident,2,2527,0.0026171645150398133,132.55043817688556,86.26336803207258
direct_city_incident,3,2887,0.008252099550940226,134.70828206422811,90.05372411919437
direct_city_incident,4,2902,0.018288728617161874,129.1999889697865,86.33311227456207
direct_city_incident,5,2539,0.05825194795887847,131.00118551709417,84.94355652544932
modeled_transfer,1,44550,0.0,85.2296929901554,53.500489936306565
modeled_transfer,2,44517,0.00248279672896292,80.05901143480516,52.585736937351534
modeled_transfer,3,44157,0.00825585646014504,99.98419833600636,64.00492852749488
modeled_transfer,4,44142,0.01832659947248281,108.59053713400228,70.95523273027356
modeled_transfer,5,44505,0.05677878321361443,123.7150507757344,82.76506745427913
