ori,state_fips,block_group_geoid,bg_responsibility_population_coverage_share,responsibility_fraction_basis
KYKSP0100,21,211450304002,0.00415800415800416,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450306001,0.018413597733711,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450309001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450309002,0.436123348017621,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450309003,0.0166666666666667,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450309004,0.209514170040486,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450310001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450310002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450310003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450310004,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450311001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450311002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450311003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450311004,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450312001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450312002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450312003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450312004,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450313012,0.847713097713098,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450313013,0.927825261158595,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450313014,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450313021,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450313022,0.921875,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450313023,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450313024,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450314011,0.537974683544304,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450314012,0.953144266337855,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450314021,0.635386819484241,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450314022,0.224080267558528,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450314023,0.832405063291139,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450315011,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450315012,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450315021,0.92373689227836,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450315022,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450316001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211450316002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579501011,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579501012,0.453225806451613,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579501022,0.431460674157303,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579501023,0.570117955439056,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579502001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579502002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579502003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579503001,0.969740634005764,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579503002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579504001,0.167600611309221,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579504002,0.00497512437810945,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579504003,0.269211451531894,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579505011,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579505012,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579505021,0.963881401617251,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579505022,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579506011,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579506012,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579506013,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579506021,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579506022,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579506031,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,211579506032,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219701001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219701002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219701003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219702011,0.333885209713024,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219702012,0.543557168784029,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219702021,1,census_2020_nonmunicipal_block_population
