rule_version,stratum,lane,pop_min,pop_max,offense,n_units,n,agg_ratio,median_ratio,mult_lo80,mult_hi80,mult_lo95,mult_hi95,severe_under,severe_over,source
v1,municipal_<25k,municipal_jurisdiction,0.0,25000.0,murder,229,31,1.7812951476013492,0.4195871665319226,1.138694996406684,7.323809900009529,0.6443290449626243,34.712045294110695,0.5483870967741935,0.032258064516129,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,municipal_<25k,municipal_jurisdiction,0.0,25000.0,rape,229,143,1.1672324908614098,0.7883670002977616,0.3143641309931644,2.534203320335653,0.1503816104876227,6.701585449867183,0.2097902097902098,0.1958041958041958,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,municipal_<25k,municipal_jurisdiction,0.0,25000.0,robbery,229,103,2.8886442843346853,1.8558529721132824,0.1334906776712299,3.5405359072736773,0.063412769793118,8.125341398022558,0.2233009708737864,0.4951456310679611,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,municipal_<25k,municipal_jurisdiction,0.0,25000.0,aggravated_assault,229,188,1.6078044863452203,1.714724746489081,0.1155857198418844,1.8683682050597363,0.0517615062880008,3.8578251786839433,0.0904255319148936,0.4361702127659574,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,municipal_<25k,municipal_jurisdiction,0.0,25000.0,burglary,229,191,1.5604414355075509,1.717294832370407,0.1742699271619584,1.8800966552972855,0.0911969067023059,4.383786509026393,0.094240837696335,0.4031413612565445,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,municipal_<25k,municipal_jurisdiction,0.0,25000.0,larceny,229,218,1.9727122524196432,1.8158366284104597,0.1627573500031664,1.501932780288068,0.0626360898584003,2.427971136258831,0.0412844036697247,0.4587155963302752,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,municipal_<25k,municipal_jurisdiction,0.0,25000.0,motor_vehicle_theft,229,181,5.466645221406586,2.139421584334314,0.1024560537097542,1.9975227245709224,0.0579727390714324,3.025593908303287,0.0994475138121546,0.5359116022099447,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,municipal_<25k,municipal_jurisdiction,0.0,25000.0,ALL,229,1055,2.1837259122585375,1.5551628302957097,0.1504579745763693,2.2606846479590854,0.0679256702608711,4.765515527913167,0.1251184834123222,0.4132701421800948,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,county_2.5k-150k,county_remainder,2500.0,150000.0,murder,183,78,1.2169656058376317,0.8398382261653714,0.4064501653431905,2.915874321565738,0.2150273204830098,4.913982479032529,0.2179487179487179,0.1666666666666666,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,county_2.5k-150k,county_remainder,2500.0,150000.0,rape,183,163,0.9565368437468126,0.9894681251689283,0.3537509620756137,2.151177338182479,0.1889145535398501,3.527381118350187,0.1349693251533742,0.2085889570552147,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,county_2.5k-150k,county_remainder,2500.0,150000.0,robbery,183,99,1.4465389577204013,1.0027302226075674,0.3035453599893832,3.7610073756092737,0.2234320361518124,7.250590003038779,0.2626262626262626,0.2626262626262626,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,county_2.5k-150k,county_remainder,2500.0,150000.0,aggravated_assault,183,179,1.0304710301366775,1.1332962549253611,0.4046237452548405,1.8335310951985095,0.2130610102927281,2.8662766357793616,0.0893854748603352,0.1564245810055866,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,county_2.5k-150k,county_remainder,2500.0,150000.0,burglary,183,180,1.041595276012263,1.2155168433578685,0.3668327887840336,1.926009031887977,0.1749419542925573,2.5722369233449056,0.0888888888888888,0.1888888888888888,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,county_2.5k-150k,county_remainder,2500.0,150000.0,larceny,183,182,1.111672324646091,1.2421370107255387,0.4000548876936062,1.548056738960429,0.1657087931859057,2.309511473109579,0.0384615384615384,0.1648351648351648,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,county_2.5k-150k,county_remainder,2500.0,150000.0,motor_vehicle_theft,183,173,1.1677072194060567,1.208377880683155,0.3058058508840663,1.7650624363298928,0.1774076469589402,2.1614211710816087,0.0578034682080924,0.2832369942196532,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v1,county_2.5k-150k,county_remainder,2500.0,150000.0,ALL,183,1054,1.0903259944289971,1.1086299516310871,0.3545712036548042,2.063557305232396,0.1836201097429768,3.708022815380778,0.1081593927893738,0.2030360531309298,"E5 01_pseudo_mask.py solo masks, 2026-08-05 (empirical_bounds_production_strata.csv)"
v2,municipal_<25k,municipal_jurisdiction,0.0,25000.0,murder,229,31,1.23925467661637,0.3546867016828863,1.7334879504594816,17.48043585442032,1.3779155132985588,47.570584882676954,0.8387096774193549,0.0,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,municipal_<25k,municipal_jurisdiction,0.0,25000.0,rape,229,143,1.0458317577085274,0.7385530923816382,0.3783444721179542,2.8903545511409323,0.1634869827111172,6.7525772611607815,0.2797202797202797,0.1958041958041958,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,municipal_<25k,municipal_jurisdiction,0.0,25000.0,robbery,229,103,1.20852846386243,0.8560150061532859,0.3200239765857329,6.526491467684148,0.0928146546176763,11.840659290814996,0.3495145631067961,0.2135922330097087,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,municipal_<25k,municipal_jurisdiction,0.0,25000.0,aggravated_assault,229,188,1.1457445292812,1.3112429646321888,0.1615284145231314,2.618708152351404,0.0755969071267548,4.9272664460981295,0.1648936170212765,0.2978723404255319,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,municipal_<25k,municipal_jurisdiction,0.0,25000.0,burglary,229,191,1.1417166323084138,1.3125486380199851,0.2570405475660308,2.0691599153103044,0.1172280686824841,4.351387936466791,0.1047120418848167,0.3089005235602094,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
