offense,uses_person_exposure_denominator,recommendation,alpha_2way_consult_form,w_landscan_night,w_landscan_day,w_daytime_jobs,heldout_tvd_3way,heldout_tvd_2way,heldout_tvd_deployed_hard_max,gain_3way_vs_deployed,gain_2way_vs_deployed,boot_p_3way_better,loo_weight_stability,truth_adequacy,n_feeds,n_cells,noise_floor_share_of_tvd,caveat
murder,True,adopt 3-way convex ensemble,0.0,0.9,0.0,0.1,0.5171987530278943,0.5548189088194863,0.5649242022079739,0.08448115515948407,0.01788787477858389,1.0,0.5,thin,16,17,0.45200712873058235,weights not resolvable at this sample size; direction only
rape,True,adopt 3-way convex ensemble,0.1,0.7,0.1,0.2,0.3507666949226678,0.37741356237559776,0.3861667216061312,0.09167031932795455,0.022666788049802933,0.9995,0.8,thin,10,14,0.5395099121945924,weights not resolvable at this sample size; direction only
robbery,True,adopt 3-way convex ensemble,0.3,0.7,0.3,0.0,0.4080578969352955,0.4249006543775909,0.43137095974977097,0.05404411745287374,0.014999399532906299,0.999,0.42105263157894735,adequate,19,40,0.22378104234431945,
aggravated_assault,True,adopt 3-way convex ensemble,0.0,0.7,0.1,0.2,0.3584914227542779,0.39160975690835315,0.4011165818741351,0.10626626034929765,0.023700902419349745,1.0,0.6666666666666666,adequate,18,40,0.20378804119799063,
burglary,False,no change (offense uses premises/vehicles); person numbers are reference only,0.1,0.8,0.1,0.1,0.28042030369872895,0.3222311809406418,0.3355102899573967,0.1641976055806309,0.03957884277838719,1.0,1.0,adequate,20,41,0.20994346072564848,
larceny,True,adopt 3-way convex ensemble,0.3,0.4,0.3,0.3,0.3158146069388751,0.32671307674681016,0.3361058987865101,0.06037172189150941,0.027946019613497297,1.0,0.6,adequate,20,44,0.10156207406414444,
motor_vehicle_theft,False,no change (offense uses premises/vehicles); person numbers are reference only,0.0,0.7,0.1,0.2,0.2873895393504351,0.31806995096317947,0.33115732995021224,0.13216615379269248,0.03952012473648214,1.0,0.9,adequate,20,42,0.20065905300267256,
