ori9,ori7,state_fips,state_abbr,agency_name_raw,agency_name_std,agency_type_raw,agency_type_norm,source_presence_srs,source_presence_nibrs,srs_years,nibrs_years,srs_year_count,nibrs_year_count,latest_srs_year,latest_nibrs_year,latest_srs_part1_total,latest_srs_months_reported,latest_srs_months_missing,population_latest_nibrs,name_alias_group,manual_review_flag
CA0109935,CA01099,06,CA,Highway Patrol: Fresno Area Office,HIGHWAY PATROL FRESNO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL FRESNO AREA OFFICE,False
CA0199935,CA01999,06,CA,Highway Patrol: East Los Angeles Area Office,HIGHWAY PATROL EAST LOS ANGELES AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL EAST LOS ANGELES AREA OFFICE,False
CA0239950,CA02399,06,CA,Highway Patrol: Ukiah Area Office,HIGHWAY PATROL UKIAH AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL UKIAH AREA OFFICE,False
CA0199940,CA01999,06,CA,Highway Patrol: Newhall Area Office,HIGHWAY PATROL NEWHALL AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL NEWHALL AREA OFFICE,False
CA0059955,CA00599,06,CA,Highway Patrol: San Andreas Area Office,HIGHWAY PATROL SAN ANDREAS AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SAN ANDREAS AREA OFFICE,False
CA0209950,CA02099,06,CA,Highway Patrol: Madera Area Office,HIGHWAY PATROL MADERA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL MADERA AREA OFFICE,False
CA0219950,CA02199,06,CA,Highway Patrol: Marin Area Office,HIGHWAY PATROL MARIN AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL MARIN AREA OFFICE,False
CA0249960,CA02499,06,CA,Highway Patrol: Merced Area Office,HIGHWAY PATROL MERCED AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL MERCED AREA OFFICE,False
CA0289925,CA02899,06,CA,Highway Patrol: Napa Area Office,HIGHWAY PATROL NAPA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL NAPA AREA OFFICE,False
CA0459935,CA04599,06,CA,Highway Patrol: Redding Area Office,HIGHWAY PATROL REDDING AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL REDDING AREA OFFICE,False
CA0299930,CA02999,06,CA,Highway Patrol: Grass Valley Area Office,HIGHWAY PATROL GRASS VALLEY AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL GRASS VALLEY AREA OFFICE,False
CA0089920,CA00899,06,CA,Highway Patrol: Crescent City Area Office,HIGHWAY PATROL CRESCENT CITY AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL CRESCENT CITY AREA OFFICE,False
CA0139925,CA01399,06,CA,Highway Patrol: El Centro Area Office,HIGHWAY PATROL EL CENTRO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL EL CENTRO AREA OFFICE,False
CA0369950,CA03699,06,CA,Highway Patrol: Victorville Area Office,HIGHWAY PATROL VICTORVILLE AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL VICTORVILLE AREA OFFICE,False
CA0199925,CA01999,06,CA,Highway Patrol: Baldwin Park Area Office,HIGHWAY PATROL BALDWIN PARK AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL BALDWIN PARK AREA OFFICE,False
CA0309970,CA03099,06,CA,Highway Patrol: Westminster Area Office,HIGHWAY PATROL WESTMINSTER AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL WESTMINSTER AREA OFFICE,False
