state_abbr,year,source_sheet,source_row_number,county,agency_name,agency_name_normalized,population_estimate,quarters_reported,months_reported,offense_level,offense_bucket,offense_name,offense_name_source,offense_slug,period,quarter,month,month_name,incident_count,annual_rate
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M09,3,9,Sep,4,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M10,4,10,Oct,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M11,4,11,Nov,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M12,4,12,Dec,1,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,YTD,,,,52,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M01,1,1,Jan,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M02,1,2,Feb,2,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M03,1,3,Mar,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M04,2,4,Apr,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M05,2,5,May,1,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M06,2,6,Jun,2,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M07,3,7,Jul,2,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M08,3,8,Aug,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M09,3,9,Sep,2,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M10,4,10,Oct,1,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M11,4,11,Nov,1,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,M12,4,12,Dec,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Robbery,Robbery,robbery,YTD,,,,23,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M01,1,1,Jan,26,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M02,1,2,Feb,11,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M03,1,3,Mar,26,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M04,2,4,Apr,15,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M05,2,5,May,22,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M06,2,6,Jun,15,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M07,3,7,Jul,21,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M08,3,8,Aug,8,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M09,3,9,Sep,16,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M10,4,10,Oct,15,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M11,4,11,Nov,19,
