level,offense,estimate_mode,n,pct,denominator_reason_values,publishable_true,suppressed_true,index_primary_null,rate_primary_null,expected_count_null,expected_count_sum,crime_density_null,index_resident_null,index_resident_suppressed_true,aggregate_evw_null,aggregate_harm_null,renders_as
tract,rape,count_derived,82568,98.5581,publishable,82568,0,0,0,0,127546.94146314995,0,10,10,5,0,grey no-data (#3a4150) when index null; coloured otherwise
tract,rape,insufficient_exposure,2,0.0024,insufficient_exposure,0,2,2,2,0,0.00593968651574967,0,2,2,2,2,grey no-data (#3a4150) when index null; coloured otherwise
tract,rape,non_residential,1083,1.2927,publishable|zero_or_structural_denominator,0,1083,1083,1083,0,1720.0679457956971,294,1083,1083,1083,1083,grey no-data (#3a4150) when index null; coloured otherwise
tract,rape,special_use,123,0.1468,special_use,0,123,123,123,0,232.20011318662702,0,123,123,123,123,grey no-data (#3a4150) when index null; coloured otherwise
tract,robbery,count_derived,82568,98.5581,publishable,82568,0,0,0,0,204408.9983102088,0,10,10,5,0,grey no-data (#3a4150) when index null; coloured otherwise
tract,robbery,insufficient_exposure,2,0.0024,insufficient_exposure,0,2,2,2,0,7.391399242592983e-07,0,2,2,2,2,grey no-data (#3a4150) when index null; coloured otherwise
tract,robbery,non_residential,1083,1.2927,publishable|zero_or_structural_denominator,0,1083,1083,1083,0,804.7247216275299,294,1083,1083,1083,1083,grey no-data (#3a4150) when index null; coloured otherwise
tract,robbery,special_use,123,0.1468,special_use,0,123,123,123,0,398.01430216673106,0,123,123,123,123,grey no-data (#3a4150) when index null; coloured otherwise
tract,aggravated_assault,count_derived,82568,98.5581,publishable,82568,0,0,0,0,870410.3859460886,0,10,10,5,0,grey no-data (#3a4150) when index null; coloured otherwise
tract,aggravated_assault,insufficient_exposure,2,0.0024,insufficient_exposure,0,2,2,2,0,0.032401097452297314,0,2,2,2,2,grey no-data (#3a4150) when index null; coloured otherwise
tract,aggravated_assault,non_residential,1083,1.2927,publishable|zero_or_structural_denominator,0,1083,1083,1083,0,2520.291038968688,294,1083,1083,1083,1083,grey no-data (#3a4150) when index null; coloured otherwise
tract,aggravated_assault,special_use,123,0.1468,special_use,0,123,123,123,0,940.716361032039,0,123,123,123,123,grey no-data (#3a4150) when index null; coloured otherwise
tract,burglary,count_derived,82570,98.5604,publishable,82570,0,0,0,0,779409.2835365788,0,0,0,7,2,grey no-data (#3a4150) when index null; coloured otherwise
tract,burglary,non_residential,1083,1.2927,publishable|zero_or_structural_denominator,0,1083,1083,1083,0,1241.344673807983,294,1083,1083,1083,1083,grey no-data (#3a4150) when index null; coloured otherwise
tract,burglary,special_use,123,0.1468,special_use,0,123,123,123,0,1069.0582311662447,0,123,123,123,123,grey no-data (#3a4150) when index null; coloured otherwise
tract,larceny,count_derived,82568,98.5581,publishable,82568,0,0,0,0,4251290.891537472,0,10,10,5,0,grey no-data (#3a4150) when index null; coloured otherwise
tract,larceny,insufficient_exposure,2,0.0024,insufficient_exposure,0,2,2,2,0,0.2126904555301464,0,2,2,2,2,grey no-data (#3a4150) when index null; coloured otherwise
tract,larceny,non_residential,1083,1.2927,publishable|zero_or_structural_denominator,0,1083,1083,1083,0,17902.697359316608,294,1083,1083,1083,1083,grey no-data (#3a4150) when index null; coloured otherwise
tract,larceny,special_use,123,0.1468,special_use,0,123,123,123,0,7142.5073011393,0,123,123,123,123,grey no-data (#3a4150) when index null; coloured otherwise
tract,motor_vehicle_theft,count_derived,82563,98.5521,publishable,82563,0,0,0,0,869433.5070441338,0,0,0,0,0,grey no-data (#3a4150) when index null; coloured otherwise
tract,motor_vehicle_theft,insufficient_exposure,7,0.0084,insufficient_exposure,0,7,7,7,0,12.808482805001756,0,7,7,7,2,grey no-data (#3a4150) when index null; coloured otherwise
tract,motor_vehicle_theft,non_residential,1083,1.2927,publishable|zero_or_structural_denominator,0,1083,1083,1083,0,1590.3539329557643,294,1083,1083,1083,1083,grey no-data (#3a4150) when index null; coloured otherwise
tract,motor_vehicle_theft,special_use,123,0.1468,special_use,0,123,123,123,0,946.9238875625296,0,123,123,123,123,grey no-data (#3a4150) when index null; coloured otherwise
