layer,class,n_adjacent_pairs,n_pairs_in_class,pct_pairs,n_distinct_bgs,median_max_count,median_max_land_sq_mi
index_burglary_primary,grey_next_to_coloured_similar_exposure,762522,4220,0.5534,5301,3.127987278289025,0.8592224772800212
index_burglary_primary,grey_next_to_warm(band>=6),762522,4535,0.5947,5054,7.408066375301365,0.9717650788752077
index_burglary_primary,deep_blue_next_to_deep_red,762522,238,0.0312,355,12.025109966480768,6.095165433018146
index_burglary_primary,deep_blue_next_to_deep_red_overlapping_CIs,762522,60,0.0079,105,6.338631554774246,3.050966322775899
index_aggravated_assault_primary,band_gap_ge_2_with_overlapping_CIs,762522,266529,34.9536,188949,3.7832241589838604,1.022547937488408
index_aggravated_assault_primary,band_gap_ge_3_with_overlapping_CIs,762522,130206,17.0757,126380,4.463828646261823,1.0946370715192202
index_aggravated_assault_primary,band_gap_ge_4_with_overlapping_CIs,762522,59365,7.7853,70481,4.979711003400069,1.25832932877827
index_aggravated_assault_primary,band_gap_ge_3_on_tiny_counts(<=5),762522,73274,9.6094,80675,2.9170391114353658,1.3205533596059635
index_aggravated_assault_primary,band_gap_ge_4_on_tiny_counts(<=10),762522,53685,7.0405,63331,4.556058522504226,1.2090070946310252
index_aggravated_assault_primary,grey_next_to_coloured,762522,18137,2.3786,17589,3.188717522695597,1.0681400386814903
index_aggravated_assault_primary,grey_next_to_coloured_similar_exposure,762522,4220,0.5534,5301,4.08129618356424,0.8592224772800212
index_aggravated_assault_primary,grey_next_to_warm(band>=6),762522,5278,0.6922,5950,9.21460004899524,0.6612891361883511
index_aggravated_assault_primary,deep_blue_next_to_deep_red,762522,1021,0.1339,1564,13.066363499236864,1.9920882957258055
index_aggravated_assault_primary,deep_blue_next_to_deep_red_overlapping_CIs,762522,165,0.0216,283,6.884817208069541,4.629263722758943
index_motor_vehicle_theft_primary,band_gap_ge_2_with_overlapping_CIs,762522,213979,28.062,163577,3.583250415303292,0.8910342063307773
index_motor_vehicle_theft_primary,band_gap_ge_3_with_overlapping_CIs,762522,92572,12.1402,94609,4.365159641278934,0.8295806423605552
index_motor_vehicle_theft_primary,band_gap_ge_4_with_overlapping_CIs,762522,38643,5.0678,47401,4.827479888360751,0.8590761445619146
index_motor_vehicle_theft_primary,band_gap_ge_3_on_tiny_counts(<=5),762522,53312,6.9915,60626,2.8635713731571837,0.8984087575598948
index_motor_vehicle_theft_primary,band_gap_ge_4_on_tiny_counts(<=10),762522,36302,4.7608,43801,4.498431792805512,0.826959780908029
index_motor_vehicle_theft_primary,grey_next_to_coloured,762522,19511,2.5587,18807,2.4440048580923417,0.9091983823817632
index_motor_vehicle_theft_primary,grey_next_to_coloured_similar_exposure,762522,4898,0.6423,6061,3.368931030968965,0.6318415106546571
index_motor_vehicle_theft_primary,grey_next_to_warm(band>=6),762522,7187,0.9425,7440,7.078306209653063,0.36925459090234974
index_motor_vehicle_theft_primary,deep_blue_next_to_deep_red,762522,810,0.1062,1176,11.474168646964433,0.5344400982597561
index_motor_vehicle_theft_primary,deep_blue_next_to_deep_red_overlapping_CIs,762522,161,0.0211,256,3.2877380375428285,0.03319127206340727
