block_group_geoid,state_fips,population_2024,households_total,exposure_proxy_2024,vehicle_exposure_2024,burglary_premises_total,land_area_sq_mi,expected_count_total,crime_density_total,non_residential_flag,special_use_tract_flag,suppression_reasons,suppression_modes,n_offenses_published,n_neighbours,n_neighbours_coloured,neighbour_median_index,neighbour_max_index
220450307005,22,147,75,147.0,47.228431625032194,75.0,0.05793269838601692,3.3237593947318116,57.37277025463153,False,False,insufficient_exposure,insufficient_exposure,4,5.0,5.0,165.3762309150863,242.04078093785424
220450309002,22,211,83,211.0,27.0,105.59481966191612,0.053542330740661205,9.700437771586847,181.17324437316893,False,False,insufficient_exposure,insufficient_exposure,4,6.0,6.0,307.0831074265352,402.1869437513501
220450310006,22,420,159,420.0,24.77955189286634,159.0,0.08018067696843598,4.955582512865384,61.80519671611409,False,False,insufficient_exposure,insufficient_exposure,4,4.0,4.0,173.21048072117839,238.38967978240976
220450311017,22,60,24,167.0,35.88977594643317,46.59481966191611,0.06782579399563345,1.6735020201918933,24.67353379305271,False,False,insufficient_exposure,insufficient_exposure,4,3.0,3.0,82.2324375703912,88.01957341186599
220710016001,22,29,30,56.0,34.242953988516504,30.0,0.05530411489031894,11.16601258111749,201.90202127386576,False,False,insufficient_exposure,insufficient_exposure,4,3.0,3.0,285.3099426805661,538.8943561889378
220710044022,22,220,156,225.0,39.0,156.0,0.061166303964229396,20.21488969103286,330.4906195223878,False,False,insufficient_exposure,insufficient_exposure,4,5.0,5.0,575.7332342209186,1477.7843080086943
220979609013,22,211,50,342.0,33.0,50.0,0.12435192221789776,4.655532196146651,37.43836133058656,False,False,insufficient_exposure,insufficient_exposure,4,4.0,4.0,141.94182319631645,306.33016694797834
220979613024,22,213,108,213.0,30.0,108.0,0.12775965986963547,12.86171201505193,100.6711510360616,False,False,insufficient_exposure,insufficient_exposure,4,6.0,6.0,152.57534423985277,210.7426431971366
220990201015,22,42,19,42.0,45.158633724854866,19.0,53.185795899271525,1.618274570001673,0.03042681871427702,False,False,insufficient_exposure,insufficient_exposure,1,11.0,11.0,71.37686756915396,118.40154139621387
220990202013,22,98,58,123.0,0.8948292156068584,58.0,0.94828775101983,2.260703838168172,2.3839850675461247,False,False,insufficient_exposure,insufficient_exposure,4,4.0,4.0,83.2045955514421,107.83636027006105
