block_group_geoid,state_fips,tract_id,population_2024,households_total,daytime_population_jobs_proxy,landscan_day_pop,exposure_proxy_2024,exposure_lift_ratio,landscan_over_resident,destination_poi_total,commercial_premises_total,lodes_retail_jobs,retail_jobs_per_resident,land_area_sq_mi,urban_stratum,expected_count_total,index_total_primary_event_weighted,index_larceny_primary,expected_count_larceny,index_motor_vehicle_theft_primary,index_robbery_primary,reliability_tier_larceny,numerator_support_source_larceny,source_mode_larceny,transient_exposure_likely_larceny,recommended_display_geography_larceny
471570055002,47,47157005500,130,44,130,364.0,364.0,2.8,2.8,6.0,6.0,78,0.6,0.1586922343052764,urban,84.48417843566465,1663.2804698921618,1078.7135166431826,35.961030837508154,3897.1716451441644,2121.200288527369,low,model_only,modeled_transfer,False,tract_or_larger
471570112001,47,47157011200,157,125,157,494.0,494.0,3.1464968152866244,3.1464968152866244,7.0,7.0,2,0.012738853503184714,0.24003469266891733,urban,97.88431410426992,1549.165877810902,643.6780216117183,29.121936966180794,4673.704000352339,1915.2560597885247,low,model_only,modeled_transfer,False,tract_or_larger
471570036001,47,47157003600,188,84,649,545.0,649.0,3.452127659574468,2.898936170212766,21.0,21.0,101,0.5372340425531915,0.13450216186513692,urban,164.82386739170488,1528.3809082984415,1699.5640121118993,101.01988072966502,1107.744155425446,2977.8995448197156,low,model_only,modeled_transfer,False,tract_or_larger
040136100021,04,04013610002,48,25,48,166.0,166.0,3.4583333333333335,3.4583333333333335,4.0,4.0,0,0.0,59.71137141629581,rural,34.512974238451136,1515.3357204551683,1048.8085477757597,15.94516194382525,3799.017811941986,2138.7707780754,low,model_only,modeled_transfer,False,tract_or_larger
245102002002,24,24510200200,203,101,203,448.0,448.0,2.206896551724138,2.206896551724138,8.0,8.0,9,0.04433497536945813,0.20879130599560938,urban_core,81.22823536674517,1456.8218846525715,1079.3978885056688,44.28781011181912,4281.466186004586,2043.2712396196202,low,direct_city_incident,direct_city_incident,False,tract_or_larger
471570081103,47,47157008110,82,60,82,354.0,354.0,4.317073170731708,4.317073170731708,1.0,1.0,0,0.0,0.14933389018531054,urban,47.015686007574004,1391.626281719808,429.70324705752535,13.931456578131243,5837.835619145104,748.6229312743785,low,model_only,modeled_transfer,False,tract_or_larger
360610145005,36,36061014500,548,340,548,1357.0,1357.0,2.4762773722627736,2.4762773722627736,7.0,7.0,36,0.06569343065693431,0.008530154989784875,urban_core,283.95466916663077,1373.2986505911501,2229.676780117305,277.10629197324704,79.96942788713456,354.28844895183187,high,direct_city_incident,direct_city_incident,False,block_group
500110107004,50,50011010700,510,283,1126,903.0,1126.0,2.207843137254902,1.7705882352941176,15.0,15.0,45,0.08823529411764706,0.1541157654194791,urban_core,227.6978146793756,1307.3492581740607,1971.7819126522045,203.3395682942393,12.557232906203188,257.1218965450945,low,model_only,modeled_transfer,False,tract_or_larger
360810062021,36,36081006202,101,23,249,251.0,251.0,2.485148514851485,2.485148514851485,4.0,4.0,90,0.8910891089108911,0.08386331935709157,urban_core,49.605272710155496,1294.1126087414168,1613.906999923702,37.10025160597424,780.4877318280885,2743.4818842439754,high,direct_city_incident,direct_city_incident,False,block_group
170318439002,17,17031843900,126,92,126,307.0,307.0,2.4365079365079363,2.4365079365079363,3.0,3.0,12,0.09523809523809523,0.06285511480591315,urban,32.218616672997435,1285.6935007285144,480.95120937298094,13.522719038630097,6666.224362603281,3177.185472587969,medium,direct_city_incident,direct_city_incident,False,block_group
471570116002,47,47157011600,193,106,193,416.0,416.0,2.155440414507772,2.155440414507772,2.0,2.0,0,0.0,0.13838519127410204,urban,69.98876422422651,1275.7836301044995,662.9708244623747,25.258780305054106,2872.2078186983767,1817.719706433234,low,model_only,modeled_transfer,False,tract_or_larger
360610178003,36,36061017800,896,556,1236,3695.0,3695.0,4.123883928571429,4.123883928571429,13.0,13.0,476,0.53125,0.06818911612686902,urban_core,430.052186254138,1271.2252472037849,1171.2019130091373,396.34268212524654,4280.130391122304,465.86514290137615,high,direct_city_incident,direct_city_incident,False,block_group
245102604032,24,24510260403,57,22,504,467.0,504.0,8.842105263157896,8.192982456140351,9.0,9.0,21,0.3684210526315789,0.5122726219774036,urban_core,97.34568725196218,1259.983224733956,1682.6762046200688,77.67043149833442,670.6966941508058,3563.4862638247128,low,direct_city_incident,direct_city_incident,True,tract_or_larger
471570117001,47,47157011700,222,114,417,884.0,884.0,3.981981981981982,3.981981981981982,16.0,16.0,40,0.18018018018018017,0.508975695645182,urban,157.42173881030664,1186.009235466417,832.5660411661975,67.4055390343585,1322.6332342464123,1837.6746736520633,low,model_only,modeled_transfer,False,tract_or_larger
060750102021,06,06075010202,845,479,1222,1752.0,1752.0,2.0733727810650886,2.0733727810650886,28.0,28.0,33,0.03905325443786982,0.07978878327746455,urban_core,312.7525363896301,1166.3989442265886,1695.3631826104092,272.0329289737269,595.5493571500358,799.8947191202594,high,direct_city_incident,direct_city_incident,False,block_group
170316915003,17,17031691500,219,125,219,452.0,452.0,2.0639269406392695,2.0639269406392695,7.0,7.0,9,0.0410958904109589,0.04758554663789557,urban_core,62.559422684143556,1161.8505815486867,710.0806765413921,29.394816766127274,4393.719389757947,3573.2274873911006,high,direct_city_incident,direct_city_incident,False,block_group
120860044033,12,12086004403,419,339,942,987.0,987.0,2.3556085918854417,2.3556085918854417,51.0,51.0,151,0.360381861575179,0.036624492457612096,urban_core,180.07059702308192,1132.1067720586675,1608.0465742614765,145.35849040704863,378.5131700700056,2023.43171751163,low,model_only,modeled_transfer,False,tract_or_larger
060014060001,06,06001406000,2019,1058,4263,5773.0,5773.0,2.8593363051015355,2.8593363051015355,52.0,52.0,287,0.1421495789995047,0.6245237164428528,urban_core,897.6478607222924,1104.1316362090126,958.8572450661142,506.96752421326374,2817.003327912402,1348.8424351824403,low,model_only,modeled_transfer,False,tract_or_larger
060750101011,06,06075010101,887,517,4912,5861.0,5861.0,6.607666290868095,6.607666290868095,174.0,174.0,940,1.059751972942503,0.21515079464978704,urban_core,957.1243908075327,1082.613032403224,1575.732344637586,845.8216538873253,537.4074981317268,1163.5437678664264,high,direct_city_incident,direct_city_incident,True,block_group
482013124003,48,48201312400,167,99,167,388.0,388.0,2.3233532934131738,2.3233532934131738,14.0,14.0,8,0.04790419161676647,0.13875700765282664,urban,62.98628879666246,1076.7823453814951,870.2928022522221,30.925857149920585,2324.0623184710016,2293.243623283101,low,model_only,modeled_transfer,False,tract_or_larger
471570222203,47,47157022220,195,80,195,685.0,685.0,3.5128205128205128,3.5128205128205128,1.0,1.0,2,0.010256410256410256,0.34675217099741823,suburban,68.31160060177253,1058.0542639365844,298.01080897556216,18.695936145594544,3724.398418532689,776.4653132540376,low,model_only,modeled_transfer,False,tract_or_larger
