block_group_geoid,state_fips,tract_id,population_2024,households_total,daytime_population_jobs_proxy,landscan_day_pop,exposure_proxy_2024,exposure_lift_ratio,landscan_over_resident,destination_poi_total,commercial_premises_total,lodes_retail_jobs,retail_jobs_per_resident,land_area_sq_mi,urban_stratum,expected_count_total,index_total_primary_event_weighted,index_larceny_primary,expected_count_larceny,index_motor_vehicle_theft_primary,index_robbery_primary,reliability_tier_larceny,numerator_support_source_larceny,source_mode_larceny,transient_exposure_likely_larceny,recommended_display_geography_larceny
245102610002,24,24510261000,259,105,259,283.0,283.0,1.0926640926640927,1.0926640926640927,13.0,13.0,65,0.25096525096525096,0.04227548365077244,urban_core,209.16803338137095,4777.889470424826,5522.68697127082,143.1401577852686,2183.3794499713877,23774.30420880469,low,direct_city_incident,direct_city_incident,False,tract_or_larger
360470054002,36,36047005400,388,172,388,405.0,405.0,1.0438144329896908,1.0438144329896908,6.0,6.0,52,0.13402061855670103,0.01563597911652189,urban_core,128.2762879603624,2120.22390712376,3366.5383945663175,124.87146970072553,691.2076740064366,181.33460514191216,high,direct_city_incident,direct_city_incident,False,block_group
471570015001,47,47157001500,766,316,766,644.0,766.0,1.0,0.8407310704960835,18.0,18.0,109,0.1422976501305483,0.37733995620543603,urban,219.14971700067207,1676.7021801361925,1418.1586496854336,99.48972169413005,1932.3695268232777,2815.3171706399025,low,model_only,modeled_transfer,False,tract_or_larger
360810163002,36,36081016300,512,317,512,439.0,512.0,1.0,0.857421875,5.0,5.0,152,0.296875,0.02429625053375245,urban_core,125.80089629214461,1673.355764950857,2227.8870713553993,104.46907814330474,1026.5455644340595,2886.1435429510084,high,direct_city_incident,direct_city_incident,False,block_group
170312607001,17,17031260700,240,83,240,193.0,240.0,1.0,0.8041666666666667,3.0,3.0,35,0.14583333333333334,0.047984004065563066,urban_core,57.9982767234793,1663.5834383395224,1077.1966519335554,23.677228468532537,3652.0868832650144,13981.250687900743,high,direct_city_incident,direct_city_incident,False,block_group
360610030022,36,36061003002,976,650,976,663.0,976.0,1.0,0.6793032786885246,35.0,35.0,41,0.042008196721311473,0.015996212430488727,urban_core,202.77148965911957,1568.5297595515271,1840.2423900646756,164.49377837423674,2429.538285704981,1834.932471078585,high,direct_city_incident,direct_city_incident,False,block_group
360470245004,36,36047024500,379,239,379,347.0,379.0,1.0,0.9155672823218998,31.0,31.0,105,0.2770448548812665,0.014783465550349574,urban_core,90.0722967484605,1542.4452463621383,2088.0617074472334,72.47816129812169,679.2734809653215,3478.0228937378383,high,direct_city_incident,direct_city_incident,False,block_group
420912025001,42,42091202500,2517,1393,2921,2129.0,2921.0,1.160508541914978,0.8458482320222487,38.0,38.0,1023,0.4064362336114422,0.27592481882088643,urban_core,674.0602989933939,1472.5542027186355,2228.2082671471467,596.0901787385252,645.551394943142,1261.7921103235055,low,model_only,modeled_transfer,False,tract_or_larger
360610183007,36,36061018300,564,309,564,488.0,564.0,1.0,0.8652482269503546,39.0,39.0,65,0.11524822695035461,0.00874405558564514,urban_core,125.17761567858012,1462.1201822270987,2078.263548297913,107.35056945450286,730.059161111534,2127.523702584201,high,direct_city_incident,direct_city_incident,False,block_group
471570078213,47,47157007821,378,158,378,288.0,378.0,1.0,0.7619047619047619,2.0,2.0,93,0.24603174603174602,0.2262160964128905,urban,90.07760756537273,1461.547059170518,1028.915715316576,35.62018974504672,1649.3453276653283,1934.252620650819,low,model_only,modeled_transfer,False,tract_or_larger
170310102021,17,17031010202,1407,585,1407,1163.0,1407.0,1.0,0.8265813788201848,26.0,26.0,115,0.08173418621179815,0.07085592373626766,urban_core,300.9471935937037,1401.0700888040528,1959.5055341122268,252.50223116751675,663.9289934467894,3634.9510575350732,high,direct_city_incident,direct_city_incident,False,block_group
080590114011,08,08059011401,1734,908,1948,1855.0,1948.0,1.1234140715109573,1.0697808535178777,27.0,27.0,615,0.3546712802768166,0.2527073377182415,urban_core,429.25375106837424,1381.2154841211573,1819.258173543156,324.56965623101274,762.3376207546028,2139.99521555355,low,model_only,modeled_transfer,False,tract_or_larger
