state_fips,state_abbr,offense,repo_nibrs_observed_total_2024,repo_srs_observed_total_2024,year,fbi_cde_estimated_total_2024,population,state_name,bjs_ckle_count_2024,bjs_ckle_rate_2024,repo_srs_minus_fbi_cde,repo_nibrs_minus_bjs_ckle,bjs_state_estimate_suppressed,repo_srs_gap_below_fbi_cde,repo_nibrs_gap_below_bjs_ckle,gap_priority_score,priority_rank
12,FL,larceny,136514.0,171307.0,2024,267587,23372215,Florida,317440.0,1358.2,-96280.0,-180926.0,False,96280.0,180926.0,277206.0,1
12,FL,aggravated_assault,20822.0,32963.0,2024,46065,23372215,Florida,63190.0,270.4,-13102.0,-42368.0,False,13102.0,42368.0,55470.0,6
12,FL,burglary,17962.0,23397.0,2024,35652,23372215,Florida,51040.0,218.4,-12255.0,-33078.0,False,12255.0,33078.0,45333.0,7
12,FL,motor_vehicle_theft,13639.0,18912.0,2024,28741,23372215,Florida,41960.0,179.6,-9829.0,-28321.0,False,9829.0,28321.0,38150.0,11
12,FL,robbery,4895.0,6181.0,2024,8929,23372215,Florida,13060.0,55.9,-2748.0,-8165.0,False,2748.0,8165.0,10913.0,25
12,FL,rape,2729.0,4277.0,2024,6529,23372215,Florida,8110.0,34.7,-2252.0,-5381.0,False,2252.0,5381.0,7633.0,36
12,FL,murder,433.0,586.0,2024,900,23372215,Florida,1270.0,5.4,-314.0,-837.0,False,314.0,837.0,1151.0,129
