reference_year,reference_type,reference_label,official_count,source_name,source_url,source_contract
2024,violent,Murder,71,Minneapolis Crime_Data 2024 year-end extract,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Crime_Data/FeatureServer/0,"Reported_Date 2024 year filter on Crime Offenses (NIBRS); row count; NIBRS code 09A only."
2024,blocked_family,Sex Offenses family,801,Minneapolis Crime_Data 2024 year-end extract,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Crime_Data/FeatureServer/0,"Reported_Date 2024 year filter on Crime Offenses (NIBRS); row count; NIBRS codes 11A, 11B, 11D, and 36B; not a strict repo rape bucket."
2024,violent,Robbery,1601,Minneapolis Crime_Data 2024 year-end extract,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Crime_Data/FeatureServer/0,"Reported_Date 2024 year filter on Crime Offenses (NIBRS); row count; NIBRS code 120 only."
2024,violent,Aggravated Assault,2385,Minneapolis Crime_Data 2024 year-end extract,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Crime_Data/FeatureServer/0,"Reported_Date 2024 year filter on Crime Offenses (NIBRS); row count; NIBRS code 13A only."
2024,property,Burglary,2627,Minneapolis Crime_Data 2024 year-end extract,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Crime_Data/FeatureServer/0,"Reported_Date 2024 year filter on Crime Offenses (NIBRS); row count; NIBRS code 220 only."
2024,property,Larceny,12919,Minneapolis Crime_Data 2024 year-end extract,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Crime_Data/FeatureServer/0,"Reported_Date 2024 year filter on Crime Offenses (NIBRS); row count across codes 23A through 23H."
2024,property,Motor Vehicle Theft,6677,Minneapolis Crime_Data 2024 year-end extract,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Crime_Data/FeatureServer/0,"Reported_Date 2024 year filter on Crime Offenses (NIBRS); row count; NIBRS code 240 only."
