ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,preferred_source,preferred_count,preferred_months_reported,srs_months,nibrs_months,reported_count_srs,reported_count_nibrs,reporting_regime,usable_as_observed,current_row_is_true_partial,agency_year_lane_mixed
ALDI00300,AL,POARCH CREEK TRIBAL,local_police,0.0,rape,nibrs_srs_equivalent_annual,0.0,4.0,4.0,4.0,0.0,0.0,true_partial,True,False,True
ALDI00300,AL,POARCH CREEK TRIBAL,local_police,0.0,robbery,nibrs_srs_equivalent_annual,0.0,4.0,4.0,4.0,0.0,0.0,true_partial,True,False,True
AR0210100,AR,MCGEHEE,local_police,3775.0,aggravated_assault,srs_return_a_annual,24.0,8.0,8.0,8.0,24.0,24.0,true_partial,False,True,True
AR0210100,AR,MCGEHEE,local_police,3775.0,burglary,srs_return_a_annual,13.0,8.0,8.0,8.0,13.0,13.0,true_partial,False,True,True
AR0210100,AR,MCGEHEE,local_police,3775.0,larceny,srs_return_a_annual,39.0,8.0,8.0,8.0,39.0,39.0,true_partial,False,True,True
AR0210100,AR,MCGEHEE,local_police,3775.0,motor_vehicle_theft,srs_return_a_annual,6.0,8.0,8.0,8.0,6.0,6.0,true_partial,False,True,True
AR0210100,AR,MCGEHEE,local_police,3775.0,murder,srs_return_a_annual,3.0,8.0,8.0,8.0,3.0,3.0,true_partial,False,True,True
AR0210100,AR,MCGEHEE,local_police,3775.0,rape,nibrs_srs_equivalent_annual,0.0,8.0,8.0,8.0,0.0,0.0,true_partial,True,False,True
AR0210100,AR,MCGEHEE,local_police,3775.0,robbery,nibrs_srs_equivalent_annual,0.0,8.0,8.0,8.0,0.0,0.0,true_partial,True,False,True
AR0350400,AR,UNIV OF AR PINE BLUFF,special_jurisdiction,0.0,aggravated_assault,srs_return_a_annual,1.0,6.0,6.0,6.0,1.0,1.0,true_partial,False,True,True
AR0350400,AR,UNIV OF AR PINE BLUFF,special_jurisdiction,0.0,burglary,srs_return_a_annual,4.0,6.0,6.0,6.0,4.0,4.0,true_partial,False,True,True
AR0350400,AR,UNIV OF AR PINE BLUFF,special_jurisdiction,0.0,larceny,srs_return_a_annual,19.0,6.0,6.0,6.0,19.0,19.0,true_partial,False,True,True
