ori9,year,header_months,agency_indicator,city_name,header_population,state_abbr,in_nibrs_lane,in_srs_lane,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,defect,absent_from_both_lanes
MA0144100,2021,12,city,royalston,1290.0,MA,False,True,ROYALSTON,local_police,1308.0,027,58580,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NJ0150300,2021,1,city,beach haven,1275.0,NJ,False,True,BEACH HAVEN,local_police,1275.0,029,03940,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MT0060000,2021,12,county,ekalaka,1259.0,MT,False,True,CARTER,sheriff,1443.0,011,99011,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0412200,2021,1,city,hammondsville,1255.0,OH,False,True,SALINE TOWNSHIP,local_police,1272.0,081,70086,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0520400,2021,12,city,falkville,1253.0,AL,False,True,FALKVILLE,local_police,1254.0,103,25648,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MA0080300,2021,11,city,chesterfield,1252.0,MA,False,True,CHESTERFIELD,local_police,1263.0,015,13590,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WV0100400,2021,9,city,mount hope,1245.0,WV,False,True,MOUNT HOPE,local_police,1297.0,019,56404,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NM0030200,2021,1,city,dexter,1242.0,NM,False,True,DEXTER,local_police,1242.0,005,20620,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA1140100,2021,2,city,zebulon,1229.0,GA,False,True,ZEBULON,local_police,1358.0,231,85128,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WI0221100,2021,8,city,hazel green,1215.0,WI,False,True,HAZEL GREEN,local_police,1230.0,043,33525,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OR0200700,2021,8,city,coburg,1213.0,OR,False,True,COBURG,local_police,1314.0,039,14400,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MO0190100,2021,1,city,archie,1210.0,MO,False,True,ARCHIE,local_police,1263.0,037,01702,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AK0011000,2021,12,city,skagway,1202.0,AK,False,True,SKAGWAY,local_police,1206.0,230,99230,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0700200,2021,1,city,plainview,1192.0,NB,False,True,PLAINVIEW,local_police,1272.0,139,39170,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WI0230400,2021,1,city,,1182.0,WI,False,True,MONTICELLO,local_police,1204.0,045,54000,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA0130100,2021,12,city,nahunta,1178.0,GA,False,True,NAHUNTA,local_police,1178.0,025,54124,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NM0090400,2021,12,city,hurley,1164.0,NM,False,True,HURLEY,local_police,1232.0,017,33850,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MO0080100,2021,12,city,cole camp,1151.0,MO,False,True,COLE CAMP,local_police,1189.0,015,15436,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CO0480000,2021,12,county,holyoke,1132.0,CO,False,True,PHILLIPS,sheriff,1251.0,095,99095,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0631000,2021,3,city,payne,1126.0,OH,False,True,PAYNE,local_police,1181.0,125,61322,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NH0072800,2021,12,city,hill,1118.0,NH,False,True,HILL,local_police,1118.0,013,35860,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MI5929100,2021,12,city,carson city,1104.0,MI,False,True,CARSON CITY,local_police,1131.0,117,13600,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MI3266600,2021,12,city,pigeon,1099.0,MI,False,True,PIGEON,local_police,1205.0,063,64060,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
SD0530100,2021,9,city,gettysburg,1075.0,SD,False,True,GETTYSBURG,local_police,1116.0,107,24260,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0500500,2021,3,city,lowellville,1073.0,OH,False,True,LOWELLVILLE,local_police,1096.0,099,45178,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MO0220800,2021,12,city,highlandville,1070.0,MO,False,True,HIGHLANDVILLE,local_police,1070.0,043,32068,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0540100,2021,4,city,creighton,1070.0,NB,False,True,CREIGHTON,local_police,1152.0,107,11230,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
UT0210300,2021,12,city,,1065.0,UT,False,True,AURORA,local_police,1065.0,041,,fbi_cde_agency_roster,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WA0380900,2021,1,city,palouse,1061.0,WA,False,True,PALOUSE,local_police,1084.0,075,52950,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX1890000,2021,12,county,marfa,1060.0,TX,False,True,PRESIDIO,sheriff,1248.0,377,99377,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MA0080600,2021,12,city,goshen,1057.0,MA,False,True,GOSHEN,local_police,1067.0,015,26290,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CO0460200,2021,10,city,ridgway,1055.0,CO,False,True,RIDGWAY,local_police,1270.0,091,64200,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0110500,2021,12,city,assumption,1045.0,IL,False,True,ASSUMPTION,local_police,1172.0,021,02609,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IN0320700,2021,1,city,,1043.0,IN,False,True,CLAYTON,local_police,1065.0,063,,fbi_cde_agency_roster,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WI0600400,2021,12,city,elkhart lake,1018.0,WI,False,True,ELKHART LAKE,local_police,1022.0,117,23275,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
SD0040300,2021,2,city,tyndall,1010.0,SD,False,True,TYNDALL,local_police,1083.0,009,64860,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0641200,2021,1,city,thornville,1008.0,OH,False,True,THORNVILLE,local_police,1108.0,127,76680,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KS0100100,2021,1,city,sedan,980.0,KS,False,True,SEDAN,local_police,1023.0,019,63750,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0790900,2021,2,city,bolivar,962.0,OH,False,True,BOLIVAR,local_police,989.0,157,07594,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MO0600400,2021,3,city,south west city,954.0,MO,False,True,SOUTHWEST CITY,local_police,986.0,119,69230,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NH0057400,2021,12,city,warren,952.0,NH,False,True,WARREN,local_police,952.0,009,78740,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA0540200,2021,11,city,hagan,950.0,GA,False,True,HAGAN,local_police,982.0,109,36024,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CO0590500,2021,3,city,breckenridge,936.0,CO,False,True,BLUE RIVER,local_police,937.0,117,07410,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY0040300,2021,12,city,la center,936.0,KY,False,True,LA CENTER,local_police,978.0,007,43336,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0540500,2021,1,city,,936.0,NB,False,True,BLOOMFIELD,local_police,985.0,107,05455,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0560400,2021,10,city,,935.0,MN,False,True,BATTLE LAKE,local_police,938.0,111,03970,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0600400,2021,12,city,tilden,934.0,NB,False,True,TILDEN,local_police,987.0,119,48935,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY1130300,2021,12,city,uniontown,923.0,KY,False,True,UNIONTOWN,local_police,943.0,225,78492,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0140300,2021,4,city,laurel,908.0,NB,False,True,LAUREL,local_police,966.0,027,26350,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
VA0960400,2021,1,city,pound,907.0,VA,False,True,POUND,local_police,939.0,195,64272,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
VT0050300,2021,11,city,canaan,906.0,VT,False,True,CANAAN,local_police,927.0,009,11800,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY0900400,2021,12,city,new haven,904.0,KY,False,True,NEW HAVEN,local_police,904.0,179,55758,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0750400,2021,11,city,pleasant hill,897.0,IL,False,True,PLEASANT HILL,local_police,928.0,149,60534,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0050400,2021,2,city,albany,897.0,OH,False,True,ALBANY,local_police,923.0,009,01042,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0500200,2021,12,city,leland,895.0,IL,False,True,LELAND,local_police,927.0,099,42756,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY0710300,2021,12,city,adairville,893.0,KY,False,True,ADAIRVILLE,local_police,893.0,141,00298,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0140200,2021,3,city,randolph,884.0,NB,False,True,RANDOLPH,local_police,908.0,027,40675,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KS0560300,2021,2,city,americus,870.0,KS,False,True,AMERICUS,local_police,889.0,111,01675,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NC0690200,2021,1,city,oriental,856.0,NC,False,True,ORIENTAL,local_police,902.0,137,49380,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MI4089200,2021,12,city,fife lake,846.0,MI,False,True,GARFIELD TOWNSHIP,local_police,1029.0,079,31600,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0180700,2021,12,city,,844.0,MN,False,True,EMILY,local_police,872.0,035,,leaic_crosswalk,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0180500,2021,6,city,chagrin falls,844.0,OH,False,True,BENTLEYVILLE VILLAGE,local_police,891.0,035,05550,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OR0180500,2021,12,city,malin,841.0,OR,False,True,MALIN,local_police,841.0,035,45400,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA0990200,2021,1,city,greenville,831.0,GA,False,True,GREENVILLE,local_police,842.0,199,35016,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY0690300,2021,12,city,crab orchard,820.0,KY,False,True,CRAB ORCHARD,local_police,831.0,137,17956,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
