ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,months,preferred_count,implied_full_year_if_annualized,understatement,reporting_regime,preferred_source
OH0631000,OH,PAYNE,local_police,1181.0,robbery,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0521300,WI,WATERFORD TOWN,local_police,6526.0,rape,11.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0521300,WI,WATERFORD TOWN,local_police,6526.0,robbery,11.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0631000,OH,PAYNE,local_police,1181.0,rape,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0480400,WI,SPRING VALLEY,local_police,1430.0,burglary,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670600,OH,WINDHAM,local_police,2210.0,burglary,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0470200,WI,PEPIN,local_police,775.0,robbery,6.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670600,OH,WINDHAM,local_police,2210.0,motor_vehicle_theft,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430100,WI,GILLETT,local_police,1313.0,murder,11.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0740200,OH,TIFFIN,local_police,17773.0,aggravated_assault,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0730100,OH,NEW BOSTON,local_police,2267.0,robbery,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0730100,OH,NEW BOSTON,local_police,2267.0,rape,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430100,WI,GILLETT,local_police,1313.0,rape,11.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430100,WI,GILLETT,local_police,1313.0,robbery,11.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430400,WI,LENA,local_police,539.0,aggravated_assault,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0730100,OH,NEW BOSTON,local_police,2267.0,murder,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430400,WI,LENA,local_police,539.0,burglary,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430400,WI,LENA,local_police,539.0,motor_vehicle_theft,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430400,WI,LENA,local_police,539.0,murder,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430400,WI,LENA,local_police,539.0,rape,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430400,WI,LENA,local_police,539.0,robbery,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0700700,OH,LEXINGTON,local_police,4863.0,robbery,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0700700,OH,LEXINGTON,local_police,4863.0,rape,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0700700,OH,LEXINGTON,local_police,4863.0,murder,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430500,WI,SURING,local_police,517.0,aggravated_assault,6.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430100,WI,GILLETT,local_police,1313.0,burglary,11.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430100,WI,GILLETT,local_police,1313.0,aggravated_assault,11.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0740200,OH,TIFFIN,local_police,17773.0,murder,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0420000,WI,MONROE,sheriff,25233.0,robbery,11.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0762100,OH,MARLBORO TOWNSHIP,local_police,4369.0,murder,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0762100,OH,MARLBORO TOWNSHIP,local_police,4369.0,motor_vehicle_theft,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0390500,WI,ENDEAVOR,local_police,465.0,robbery,6.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0762100,OH,MARLBORO TOWNSHIP,local_police,4369.0,burglary,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0411900,WI,UNIV OF WI MILWAUKEE,special_jurisdiction,0.0,burglary,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0411900,WI,UNIV OF WI MILWAUKEE,special_jurisdiction,0.0,murder,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0411900,WI,UNIV OF WI MILWAUKEE,special_jurisdiction,0.0,robbery,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0761800,OH,WAYNESBURG,local_police,918.0,robbery,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0420100,WI,CASHTON,local_police,1169.0,robbery,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0761800,OH,WAYNESBURG,local_police,918.0,rape,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0761800,OH,WAYNESBURG,local_police,918.0,murder,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0420100,WI,CASHTON,local_police,1169.0,burglary,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0420100,WI,CASHTON,local_police,1169.0,motor_vehicle_theft,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0420100,WI,CASHTON,local_police,1169.0,murder,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0761800,OH,WAYNESBURG,local_police,918.0,aggravated_assault,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0420100,WI,CASHTON,local_police,1169.0,rape,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430500,WI,SURING,local_police,517.0,burglary,6.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0700700,OH,LEXINGTON,local_police,4863.0,burglary,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0430500,WI,SURING,local_police,517.0,motor_vehicle_theft,6.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670800,OH,HIRAM,local_police,1135.0,burglary,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0450600,WI,SHIOCTON,local_police,938.0,motor_vehicle_theft,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
