ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,months,preferred_count,implied_full_year_if_annualized,understatement,reporting_regime,preferred_source
MI6160300,MI,MUSKEGON,local_police,38188.0,larceny,6.0,196.0,392.0,196.0,true_partial,nibrs_srs_equivalent_annual
OR0230200,OR,ONTARIO,local_police,11908.0,larceny,4.0,81.0,243.0,162.0,true_partial,nibrs_srs_equivalent_annual
GA060240X,GA,ATLANTA,unknown,0.0,larceny,10.0,560.0,672.0,112.0,annual_only_but_usable,nibrs_srs_equivalent_annual
CO0510000,CO,PUEBLO,sheriff,60352.0,larceny,5.0,75.0,180.0,105.0,true_partial,nibrs_srs_equivalent_annual
MI6160300,MI,MUSKEGON,local_police,38188.0,aggravated_assault,6.0,76.0,152.0,76.0,true_partial,nibrs_srs_equivalent_annual
OH0770700,OH,MACEDONIA,local_police,12248.0,larceny,7.0,96.0,164.57142857142858,68.57142857142858,true_partial,nibrs_srs_equivalent_annual
AL0220000,AL,COOSA,sheriff,9303.0,burglary,4.0,32.0,96.0,64.0,true_partial,nibrs_srs_equivalent_annual
MI6160300,MI,MUSKEGON,local_police,38188.0,motor_vehicle_theft,6.0,63.0,126.0,63.0,true_partial,nibrs_srs_equivalent_annual
CO0510000,CO,PUEBLO,sheriff,60352.0,motor_vehicle_theft,5.0,45.0,108.0,63.0,true_partial,nibrs_srs_equivalent_annual
CA0390200,CA,LODI,local_police,68811.0,larceny,11.0,646.0,704.7272727272727,58.72727272727275,true_partial,nibrs_srs_equivalent_annual
IN0210100,IN,CONNERSVILLE,local_police,13315.0,larceny,8.0,115.0,172.5,57.5,true_partial,nibrs_srs_equivalent_annual
CO0510000,CO,PUEBLO,sheriff,60352.0,burglary,5.0,41.0,98.4,57.400000000000006,true_partial,nibrs_srs_equivalent_annual
GA060240X,GA,ATLANTA,unknown,0.0,motor_vehicle_theft,10.0,286.0,343.2,57.19999999999999,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0140400,OH,WILMINGTON,local_police,12653.0,larceny,8.0,109.0,163.5,54.5,true_partial,nibrs_srs_equivalent_annual
OH0781300,OH,BROOKFIELD TOWNSHIP,local_police,8434.0,larceny,4.0,27.0,81.0,54.0,true_partial,nibrs_srs_equivalent_annual
MI6160300,MI,MUSKEGON,local_police,38188.0,burglary,6.0,53.0,106.0,53.0,true_partial,nibrs_srs_equivalent_annual
OH0740200,OH,TIFFIN,local_police,17773.0,larceny,8.0,94.0,141.0,47.0,true_partial,nibrs_srs_equivalent_annual
WADI06800,WA,TULALIP TRIBAL,local_police,0.0,larceny,10.0,182.0,218.4,36.400000000000006,true_partial,nibrs_srs_equivalent_annual
NJ0130300,NJ,ASBURY PARK,local_police,15717.0,larceny,11.0,391.0,426.54545454545456,35.54545454545456,true_partial,nibrs_srs_equivalent_annual
GA0331300,GA,COBB CNTY BOARD OF EDUC,special_jurisdiction,0.0,larceny,7.0,40.0,68.57142857142857,28.57142857142857,true_partial,nibrs_srs_equivalent_annual
GA0130000,GA,BRANTLEY,sheriff,17522.0,larceny,9.0,83.0,110.66666666666667,27.66666666666667,true_partial,nibrs_srs_equivalent_annual
OR0230200,OR,ONTARIO,local_police,11908.0,burglary,4.0,13.0,39.0,26.0,true_partial,nibrs_srs_equivalent_annual
OR0010100,OR,BAKER CITY,local_police,10305.0,larceny,8.0,50.0,75.0,25.0,true_partial,nibrs_srs_equivalent_annual
OH0730100,OH,NEW BOSTON,local_police,2267.0,larceny,8.0,50.0,75.0,25.0,true_partial,nibrs_srs_equivalent_annual
AL0220000,AL,COOSA,sheriff,9303.0,larceny,4.0,12.0,36.0,24.0,true_partial,nibrs_srs_equivalent_annual
MO0280200,MO,CUBA,local_police,3302.0,larceny,8.0,47.0,70.5,23.5,true_partial,nibrs_srs_equivalent_annual
OR0201300,OR,UNIVERSITY OF OREGON,special_jurisdiction,0.0,larceny,11.0,239.0,260.72727272727275,21.727272727272748,true_partial,nibrs_srs_equivalent_annual
WY0040100,WY,RAWLINS,local_police,8806.0,burglary,9.0,61.0,81.33333333333333,20.33333333333333,true_partial,nibrs_srs_equivalent_annual
CO0220000,CO,FREMONT,sheriff,30008.0,larceny,9.0,60.0,80.0,20.0,true_partial,nibrs_srs_equivalent_annual
MO0050100,MO,CASSVILLE,local_police,3327.0,larceny,10.0,97.0,116.4,19.400000000000006,true_partial,nibrs_srs_equivalent_annual
OKDI15000,OK,COMANCHE NATION,local_police,0.0,larceny,7.0,27.0,46.285714285714285,19.285714285714285,true_partial,nibrs_srs_equivalent_annual
OR0020400,OR,OREGON STATE UNIVERSITY,special_jurisdiction,0.0,larceny,11.0,200.0,218.1818181818182,18.181818181818187,true_partial,nibrs_srs_equivalent_annual
NC034049E,NC,WINSTON SALEM,special_jurisdiction,0.0,larceny,9.0,54.0,72.0,18.0,annual_only_but_usable,nibrs_srs_equivalent_annual
PA002B800,PA,EASTERN REGIONAL MON VAL,local_police,7732.0,larceny,8.0,31.0,46.5,15.5,true_partial,nibrs_srs_equivalent_annual
TX0790900,TX,FORT BEND COUNTY CONSTAB,constable_marshal,0.0,larceny,5.0,11.0,26.4,15.399999999999999,true_partial,nibrs_srs_equivalent_annual
WY0040100,WY,RAWLINS,local_police,8806.0,larceny,9.0,46.0,61.333333333333336,15.333333333333336,true_partial,nibrs_srs_equivalent_annual
WV0130100,WV,LEWISBURG,local_police,3917.0,larceny,3.0,5.0,20.0,15.0,true_partial,nibrs_srs_equivalent_annual
TX2280100,TX,TRINITY,local_police,2801.0,larceny,2.0,3.0,18.0,15.0,annual_only_but_usable,nibrs_srs_equivalent_annual
NC0180800,NC,CATAWBA,local_police,723.0,larceny,3.0,5.0,20.0,15.0,true_partial,nibrs_srs_equivalent_annual
SC0090000,SC,CALHOUN,sheriff,12310.0,larceny,8.0,29.0,43.5,14.5,true_partial,nibrs_srs_equivalent_annual
OR0230200,OR,ONTARIO,local_police,11908.0,motor_vehicle_theft,4.0,7.0,21.0,14.0,true_partial,nibrs_srs_equivalent_annual
IN0570200,IN,LIGONIER,local_police,4623.0,larceny,4.0,7.0,21.0,14.0,true_partial,nibrs_srs_equivalent_annual
OH0021400,OH,PERRY TOWNSHIP,local_police,3408.0,larceny,4.0,7.0,21.0,14.0,true_partial,nibrs_srs_equivalent_annual
WI0371500,WI,MOUNTAIN BAY METROPOLITA,local_police,23701.0,larceny,8.0,28.0,42.0,14.0,true_partial,nibrs_srs_equivalent_annual
IL0492000,IL,WAUCONDA,local_police,13945.0,larceny,5.0,10.0,24.0,14.0,true_partial,nibrs_srs_equivalent_annual
GA0130000,GA,BRANTLEY,sheriff,17522.0,burglary,9.0,39.0,52.0,13.0,true_partial,nibrs_srs_equivalent_annual
CO0510000,CO,PUEBLO,sheriff,60352.0,aggravated_assault,5.0,9.0,21.6,12.600000000000001,true_partial,nibrs_srs_equivalent_annual
OR0230200,OR,ONTARIO,local_police,11908.0,robbery,4.0,6.0,18.0,12.0,true_partial,nibrs_srs_equivalent_annual
UT0182100,UT,ALTA,local_police,385.0,larceny,8.0,24.0,36.0,12.0,true_partial,nibrs_srs_equivalent_annual
GA0850000,GA,LAMAR,sheriff,13915.0,larceny,3.0,4.0,16.0,12.0,true_partial,nibrs_srs_equivalent_annual
IN0700000,IN,RUSH,sheriff,10775.0,larceny,3.0,4.0,16.0,12.0,true_partial,nibrs_srs_equivalent_annual
NC0260400,NC,FAYETTEVILLE STATE UNIV,special_jurisdiction,0.0,larceny,3.0,4.0,16.0,12.0,true_partial,nibrs_srs_equivalent_annual
OH0571000,OH,OAKWOOD MONTGOMERY CNTY,local_police,9416.0,larceny,8.0,24.0,36.0,12.0,true_partial,nibrs_srs_equivalent_annual
OR0230200,OR,ONTARIO,local_police,11908.0,aggravated_assault,4.0,6.0,18.0,12.0,true_partial,nibrs_srs_equivalent_annual
CA0390200,CA,LODI,local_police,68811.0,aggravated_assault,11.0,112.0,122.18181818181819,10.181818181818187,true_partial,nibrs_srs_equivalent_annual
NV0090000,NV,LINCOLN,sheriff,5190.0,aggravated_assault,2.0,2.0,12.0,10.0,true_partial,nibrs_srs_equivalent_annual
OH0781300,OH,BROOKFIELD TOWNSHIP,local_police,8434.0,burglary,4.0,5.0,15.0,10.0,true_partial,nibrs_srs_equivalent_annual
MO0957500,MO,VELDA CITY,local_police,1378.0,aggravated_assault,2.0,2.0,12.0,10.0,true_partial,nibrs_srs_equivalent_annual
MO0957500,MO,VELDA CITY,local_police,1378.0,larceny,2.0,2.0,12.0,10.0,true_partial,nibrs_srs_equivalent_annual
SC004019E,SC,,special_jurisdiction,0.0,larceny,2.0,2.0,12.0,10.0,annual_only_but_usable,nibrs_srs_equivalent_annual
CA0390200,CA,LODI,local_police,68811.0,burglary,11.0,104.0,113.45454545454545,9.454545454545453,true_partial,nibrs_srs_equivalent_annual
WV0202700,WV,KANAWHA CNTY PARKS REC,special_jurisdiction,0.0,larceny,3.0,3.0,12.0,9.0,true_partial,nibrs_srs_equivalent_annual
IN0210100,IN,CONNERSVILLE,local_police,13315.0,motor_vehicle_theft,8.0,18.0,27.0,9.0,true_partial,nibrs_srs_equivalent_annual
OH0181600,OH,CUYAHOGA HEIGHTS,local_police,554.0,aggravated_assault,3.0,3.0,12.0,9.0,true_partial,nibrs_srs_equivalent_annual
WA0100000,WA,FERRY,sheriff,7723.0,burglary,6.0,9.0,18.0,9.0,true_partial,nibrs_srs_equivalent_annual
KS0680000,KS,NESS,sheriff,2827.0,larceny,6.0,9.0,18.0,9.0,true_partial,nibrs_srs_equivalent_annual
MI6160300,MI,MUSKEGON,local_police,38188.0,rape,6.0,9.0,18.0,9.0,true_partial,nibrs_srs_equivalent_annual
TX2205300,TX,INDEPENDENT SCHOOL DISTR,unknown,0.0,larceny,5.0,6.0,14.4,8.4,true_partial,nibrs_srs_equivalent_annual
NC0100100,NC,OAK ISLAND,local_police,9838.0,larceny,10.0,42.0,50.4,8.399999999999999,true_partial,nibrs_srs_equivalent_annual
TX0913500,TX,INDEPENDENT SCHOOL DISTR,unknown,0.0,aggravated_assault,4.0,4.0,12.0,8.0,true_partial,nibrs_srs_equivalent_annual
IN0210100,IN,CONNERSVILLE,local_police,13315.0,burglary,8.0,16.0,24.0,8.0,true_partial,nibrs_srs_equivalent_annual
OK0580100,OK,COMMERCE,local_police,2502.0,larceny,6.0,8.0,16.0,8.0,true_partial,nibrs_srs_equivalent_annual
WA0100000,WA,FERRY,sheriff,7723.0,larceny,6.0,8.0,16.0,8.0,true_partial,nibrs_srs_equivalent_annual
MI6160300,MI,MUSKEGON,local_police,38188.0,robbery,6.0,8.0,16.0,8.0,true_partial,nibrs_srs_equivalent_annual
GA0252700,GA,SAVANNAH AIRPORT,unknown,0.0,larceny,7.0,11.0,18.857142857142858,7.857142857142858,true_partial,nibrs_srs_equivalent_annual
OH0251400,OH,COLUMBUS FRKLN C M P D,special_jurisdiction,0.0,larceny,7.0,11.0,18.857142857142858,7.857142857142858,true_partial,nibrs_srs_equivalent_annual
PA002B800,PA,EASTERN REGIONAL MON VAL,local_police,7732.0,aggravated_assault,8.0,14.0,21.0,7.0,true_partial,nibrs_srs_equivalent_annual
WV0310300,WV,STAR CITY,local_police,2005.0,larceny,8.0,14.0,21.0,7.0,true_partial,nibrs_srs_equivalent_annual
GA1140100,GA,ZEBULON,local_police,1358.0,larceny,5.0,5.0,12.0,7.0,true_partial,nibrs_srs_equivalent_annual
NV0150000,NV,STOREY,sheriff,4261.0,larceny,5.0,5.0,12.0,7.0,true_partial,nibrs_srs_equivalent_annual
NV0150000,NV,STOREY,sheriff,4261.0,burglary,5.0,5.0,12.0,7.0,true_partial,nibrs_srs_equivalent_annual
MO095019E,MO,SAINT LOUIS,special_jurisdiction,0.0,larceny,11.0,77.0,84.0,7.0,annual_only_but_usable,nibrs_srs_equivalent_annual
NJ0130300,NJ,ASBURY PARK,local_police,15717.0,aggravated_assault,11.0,74.0,80.72727272727273,6.727272727272734,true_partial,nibrs_srs_equivalent_annual
MO0710000,MO,MORGAN,sheriff,17528.0,aggravated_assault,9.0,20.0,26.666666666666668,6.666666666666668,true_partial,nibrs_srs_equivalent_annual
CA0390200,CA,LODI,local_police,68811.0,motor_vehicle_theft,11.0,73.0,79.63636363636364,6.63636363636364,true_partial,nibrs_srs_equivalent_annual
KS0480000,KS,KINGMAN,sheriff,4326.0,larceny,8.0,13.0,19.5,6.5,true_partial,nibrs_srs_equivalent_annual
IN0210100,IN,CONNERSVILLE,local_police,13315.0,aggravated_assault,8.0,13.0,19.5,6.5,true_partial,nibrs_srs_equivalent_annual
OH0140400,OH,WILMINGTON,local_police,12653.0,burglary,8.0,13.0,19.5,6.5,true_partial,nibrs_srs_equivalent_annual
OH0792100,OH,MUSKINGUM WATERSHED C D,unknown,0.0,larceny,7.0,9.0,15.428571428571429,6.428571428571429,true_partial,nibrs_srs_equivalent_annual
KS0630400,KS,CANEY,local_police,2000.0,larceny,4.0,3.0,9.0,6.0,true_partial,nibrs_srs_equivalent_annual
WVWSP3800,WV,SP POINT PLEASANT,state_law_enforcement,0.0,larceny,3.0,2.0,8.0,6.0,true_partial,nibrs_srs_equivalent_annual
OH0781300,OH,BROOKFIELD TOWNSHIP,local_police,8434.0,aggravated_assault,4.0,3.0,9.0,6.0,true_partial,nibrs_srs_equivalent_annual
MI7331100,MI,CHESANING,local_police,2440.0,aggravated_assault,6.0,6.0,12.0,6.0,true_partial,nibrs_srs_equivalent_annual
PA002B800,PA,EASTERN REGIONAL MON VAL,local_police,7732.0,motor_vehicle_theft,8.0,12.0,18.0,6.0,true_partial,nibrs_srs_equivalent_annual
OR0010100,OR,BAKER CITY,local_police,10305.0,burglary,8.0,12.0,18.0,6.0,true_partial,nibrs_srs_equivalent_annual
ND0360100,ND,DEVILS LAKE,local_police,7339.0,larceny,9.0,18.0,24.0,6.0,true_partial,nibrs_srs_equivalent_annual
TX1451100,TX,OAKWOOD,local_police,410.0,burglary,3.0,2.0,8.0,6.0,true_partial,nibrs_srs_equivalent_annual
AL0220000,AL,COOSA,sheriff,9303.0,aggravated_assault,4.0,3.0,9.0,6.0,true_partial,nibrs_srs_equivalent_annual
NC0800800,NC,GRANITE QUARRY,local_police,3094.0,larceny,8.0,12.0,18.0,6.0,true_partial,nibrs_srs_equivalent_annual
WI0330200,WI,BLANCHARDVILLE,local_police,833.0,larceny,4.0,3.0,9.0,6.0,true_partial,nibrs_srs_equivalent_annual
NC0260400,NC,FAYETTEVILLE STATE UNIV,special_jurisdiction,0.0,burglary,3.0,2.0,8.0,6.0,true_partial,nibrs_srs_equivalent_annual
MI1268800,MI,QUINCY,local_police,1616.0,larceny,7.0,8.0,13.714285714285714,5.7142857142857135,true_partial,nibrs_srs_equivalent_annual
OH0770700,OH,MACEDONIA,local_police,12248.0,motor_vehicle_theft,7.0,8.0,13.714285714285714,5.7142857142857135,true_partial,nibrs_srs_equivalent_annual
MO0600100,MO,ANDERSON,local_police,2078.0,larceny,7.0,8.0,13.714285714285714,5.7142857142857135,true_partial,nibrs_srs_equivalent_annual
OH0621400,OH,CARROLL TOWNSHIP,local_police,2096.0,larceny,9.0,17.0,22.666666666666668,5.666666666666668,true_partial,nibrs_srs_equivalent_annual
NV0100100,NV,YERINGTON,local_police,3267.0,larceny,5.0,4.0,9.6,5.6,true_partial,nibrs_srs_equivalent_annual
LA0160100,LA,MANSFIELD,local_police,4741.0,aggravated_assault,5.0,4.0,9.6,5.6,true_partial,nibrs_srs_equivalent_annual
SC0090000,SC,CALHOUN,sheriff,12310.0,burglary,8.0,11.0,16.5,5.5,true_partial,nibrs_srs_equivalent_annual
MO0280200,MO,CUBA,local_police,3302.0,burglary,8.0,11.0,16.5,5.5,true_partial,nibrs_srs_equivalent_annual
AZ0021100,AZ,TOMBSTONE,local_police,1315.0,larceny,6.0,5.0,10.0,5.0,true_partial,nibrs_srs_equivalent_annual
MO0280200,MO,CUBA,local_police,3302.0,aggravated_assault,8.0,10.0,15.0,5.0,true_partial,nibrs_srs_equivalent_annual
OH060139E,OH,NEW CONCORD,special_jurisdiction,0.0,aggravated_assault,2.0,1.0,6.0,5.0,annual_only_but_usable,nibrs_srs_equivalent_annual
NVDI06300,NV,WESTERN SHOSHONE TRIBAL,local_police,0.0,aggravated_assault,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
NVDI06300,NV,WESTERN SHOSHONE TRIBAL,local_police,0.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
SD0210000,SD,DOUGLAS,sheriff,2937.0,aggravated_assault,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
TN0820700,TN,TRI CITIES REG AIRPORT,special_jurisdiction,0.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
OH0091900,OH,BUTLER COUNTY METROPARKS,special_jurisdiction,0.0,burglary,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
TX1555500,TX,INDEPENDENT SCHOOL DISTR,unknown,0.0,burglary,2.0,1.0,6.0,5.0,annual_only_but_usable,nibrs_srs_equivalent_annual
WI0360600,WI,CLEVELAND,local_police,1599.0,aggravated_assault,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
PA0280400,PA,MERCERSBURG,local_police,1552.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
OR0210300,OR,TOLEDO,local_police,3665.0,larceny,10.0,25.0,30.0,5.0,true_partial,nibrs_srs_equivalent_annual
MO0957500,MO,VELDA CITY,local_police,1378.0,robbery,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
OH0010600,OH,SEAMAN,local_police,982.0,larceny,6.0,5.0,10.0,5.0,true_partial,nibrs_srs_equivalent_annual
OH0640300,OH,NEW STRAITSVILLE,local_police,714.0,aggravated_assault,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
MO0541600,MO,LAKE LAFAYETTE,local_police,342.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
KS0580300,KS,PEABODY,local_police,1111.0,larceny,6.0,5.0,10.0,5.0,true_partial,nibrs_srs_equivalent_annual
MO0541600,MO,LAKE LAFAYETTE,local_police,342.0,burglary,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
MO0810300,MO,DOOLITTLE,local_police,602.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
OH0482300,OH,TOLEDO LUCAS CNTY PORT A,special_jurisdiction,0.0,motor_vehicle_theft,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
OH0260000,OH,FULTON,sheriff,22507.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
CO0622300,CO,NUNN,local_police,545.0,motor_vehicle_theft,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
GA1390000,GA,TOWNS,sheriff,12252.0,aggravated_assault,8.0,10.0,15.0,5.0,true_partial,nibrs_srs_equivalent_annual
MI3238700,MI,FAIR HAVEN TOWNSHIP,local_police,1087.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
PA002B800,PA,EASTERN REGIONAL MON VAL,local_police,7732.0,burglary,8.0,10.0,15.0,5.0,true_partial,nibrs_srs_equivalent_annual
OH0410900,OH,BERGHOLZ,local_police,622.0,aggravated_assault,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
OH0212200,OH,PRSVTN PKS OF DELAWARE C,special_jurisdiction,0.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
OH0451700,OH,BUCKEYE LAKE,local_police,2908.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
NC0320400,NC,SPR ENO RIVER,special_jurisdiction,0.0,burglary,6.0,5.0,10.0,5.0,true_partial,nibrs_srs_equivalent_annual
TN0400200,TN,PURYEAR,local_police,710.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
OK0551600,OK,FOREST PARK,local_police,1080.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
WI0470200,WI,PEPIN,local_police,775.0,larceny,6.0,5.0,10.0,5.0,true_partial,nibrs_srs_equivalent_annual
TX2280100,TX,TRINITY,local_police,2801.0,burglary,2.0,1.0,6.0,5.0,annual_only_but_usable,nibrs_srs_equivalent_annual
GA1530100,GA,ALAMO,local_police,3408.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
WV0220100,WV,HAMLIN,local_police,1063.0,larceny,2.0,1.0,6.0,5.0,true_partial,nibrs_srs_equivalent_annual
KS0840100,KS,RUSSELL,local_police,4455.0,larceny,9.0,15.0,20.0,5.0,true_partial,nibrs_srs_equivalent_annual
WADI06800,WA,TULALIP TRIBAL,local_police,0.0,motor_vehicle_theft,10.0,24.0,28.8,4.800000000000001,true_partial,nibrs_srs_equivalent_annual
IN0480100,IN,ALEXANDRIA,local_police,5173.0,larceny,9.0,14.0,18.666666666666668,4.666666666666668,true_partial,nibrs_srs_equivalent_annual
NC0930200,NC,WARRENTON,local_police,861.0,larceny,9.0,14.0,18.666666666666668,4.666666666666668,true_partial,nibrs_srs_equivalent_annual
OH0060500,OH,MINSTER,local_police,2993.0,larceny,9.0,14.0,18.666666666666668,4.666666666666668,true_partial,nibrs_srs_equivalent_annual
NJ0160900,NJ,POMPTON LAKES,local_police,11374.0,larceny,10.0,23.0,27.6,4.600000000000001,true_partial,nibrs_srs_equivalent_annual
IA0771400,IA,PLEASANT HILL,local_police,12137.0,larceny,11.0,48.0,52.36363636363637,4.363636363636367,true_partial,nibrs_srs_equivalent_annual
OH0631000,OH,PAYNE,local_police,1181.0,larceny,9.0,13.0,17.333333333333332,4.333333333333332,true_partial,nibrs_srs_equivalent_annual
OH0471800,OH,LORAIN CO MET PRK DIST,special_jurisdiction,0.0,larceny,9.0,13.0,17.333333333333332,4.333333333333332,true_partial,nibrs_srs_equivalent_annual
MI1040700,MI,FRANKFORT,local_police,1291.0,larceny,7.0,6.0,10.285714285714286,4.2857142857142865,true_partial,nibrs_srs_equivalent_annual
NB0290000,NE,DUNDY,sheriff,1770.0,larceny,7.0,6.0,10.285714285714286,4.2857142857142865,true_partial,nibrs_srs_equivalent_annual
SC0380300,SC,BOWMAN,local_police,907.0,larceny,7.0,6.0,10.285714285714286,4.2857142857142865,true_partial,nibrs_srs_equivalent_annual
LA0160100,LA,MANSFIELD,local_police,4741.0,larceny,5.0,3.0,7.2,4.2,true_partial,nibrs_srs_equivalent_annual
IL0492000,IL,WAUCONDA,local_police,13945.0,aggravated_assault,5.0,3.0,7.2,4.2,true_partial,nibrs_srs_equivalent_annual
NJ0190400,NJ,BYRAM TOWNSHIP,local_police,8202.0,larceny,5.0,3.0,7.2,4.2,true_partial,nibrs_srs_equivalent_annual
NV0150000,NV,STOREY,sheriff,4261.0,rape,5.0,3.0,7.2,4.2,true_partial,nibrs_srs_equivalent_annual
OH0021700,OH,JOHNNY APPLSD METRO PK D,special_jurisdiction,0.0,larceny,5.0,3.0,7.2,4.2,true_partial,nibrs_srs_equivalent_annual
SC0381200,SC,SOUTH CAROLINA ST UNIV,special_jurisdiction,0.0,larceny,11.0,46.0,50.18181818181818,4.18181818181818,true_partial,nibrs_srs_equivalent_annual
OH0010200,OH,PEEBLES,local_police,1774.0,burglary,6.0,4.0,8.0,4.0,true_partial,nibrs_srs_equivalent_annual
MO0200200,MO,STOCKTON,local_police,1948.0,burglary,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
GA0020200,GA,WILLACOOCHEE,local_police,1389.0,burglary,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
OR0230200,OR,ONTARIO,local_police,11908.0,rape,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
GA0020200,GA,WILLACOOCHEE,local_police,1389.0,larceny,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
WV0240000,WV,MCDOWELL,sheriff,13183.0,aggravated_assault,6.0,4.0,8.0,4.0,true_partial,nibrs_srs_equivalent_annual
NB0530000,NE,KIMBALL,sheriff,1240.0,larceny,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
IN0440600,IN,PRAIRIE HEIGHTS COMMUNIT,unknown,0.0,aggravated_assault,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
OH0860800,OH,STRYKER,local_police,1236.0,burglary,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
MI6243800,MI,GRANT,local_police,985.0,larceny,6.0,4.0,8.0,4.0,true_partial,nibrs_srs_equivalent_annual
TN0350700,TN,TOONE,local_police,338.0,aggravated_assault,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
MO0200200,MO,STOCKTON,local_police,1948.0,larceny,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
KS0570200,KS,LINDSBORG,local_police,3823.0,larceny,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
MO0261800,MO,LINCOLN UNIVERSITY,special_jurisdiction,0.0,larceny,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
TN0820800,TN,NE STATE COMMUNITY COLL,special_jurisdiction,0.0,larceny,6.0,4.0,8.0,4.0,true_partial,nibrs_srs_equivalent_annual
OK0612300,OK,MCALESTER PUBLIC SCHOOLS,special_jurisdiction,0.0,aggravated_assault,6.0,4.0,8.0,4.0,true_partial,nibrs_srs_equivalent_annual
MO074015Y,MO,MARYVILLE,special_jurisdiction,0.0,larceny,8.0,8.0,12.0,4.0,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0761800,OH,WAYNESBURG,local_police,918.0,motor_vehicle_theft,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
OH0121300,OH,GERMAN TOWNSHIP,local_police,7187.0,larceny,4.0,2.0,6.0,4.0,true_partial,nibrs_srs_equivalent_annual
IN0710700,IN,ROSELAND,local_police,851.0,larceny,8.0,8.0,12.0,4.0,true_partial,nibrs_srs_equivalent_annual
KS0080800,KS,BENTON,local_police,945.0,larceny,6.0,4.0,8.0,4.0,true_partial,nibrs_srs_equivalent_annual
KS0580300,KS,PEABODY,local_police,1111.0,burglary,6.0,4.0,8.0,4.0,true_partial,nibrs_srs_equivalent_annual
MO0710000,MO,MORGAN,sheriff,17528.0,larceny,9.0,12.0,16.0,4.0,true_partial,nibrs_srs_equivalent_annual
OH0572800,OH,PERRY TOWNSHIP,local_police,3373.0,aggravated_assault,10.0,20.0,24.0,4.0,true_partial,nibrs_srs_equivalent_annual
NC034049E,NC,WINSTON SALEM,special_jurisdiction,0.0,motor_vehicle_theft,9.0,12.0,16.0,4.0,annual_only_but_usable,nibrs_srs_equivalent_annual
TN0280500,TN,ELKTON,local_police,549.0,larceny,6.0,4.0,8.0,4.0,true_partial,nibrs_srs_equivalent_annual
VA1300400,VA,UNIVERSITY OF RICHMOND,sheriff,0.0,larceny,11.0,42.0,45.81818181818182,3.81818181818182,true_partial,nibrs_srs_equivalent_annual
WI0430400,WI,LENA,local_police,539.0,larceny,7.0,5.0,8.571428571428571,3.571428571428571,true_partial,nibrs_srs_equivalent_annual
KS0750400,KS,ST GEORGE,local_police,1143.0,burglary,7.0,5.0,8.571428571428571,3.571428571428571,true_partial,nibrs_srs_equivalent_annual
GA0252700,GA,SAVANNAH AIRPORT,unknown,0.0,motor_vehicle_theft,7.0,5.0,8.571428571428571,3.571428571428571,true_partial,nibrs_srs_equivalent_annual
