ori7c,ori9,state_abbr,state_fips,year,aggravated_assault,burglary,larceny,motor_vehicle_theft,murder,rape,robbery,total,sig,preferred_sources,max_preferred_months,n_usable,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,cw_n_jurisdictions,cw_weight_sum,cw_relationship,cw_jurisdictions,estimated_count_2024_all_offenses,n_ori9,n_ori7,group_total_sum,group_total_max,group_excess_mass,duplicate_class,match_evidence
FL00127,FL0012700,FL,12,2024,0.0,1.0,7.0,0.0,0.0,0.0,1.0,9.0,0|0|1|0|1|7|0,srs_return_a_annual,1.0,0,SANTA FE COLLEGE,special_jurisdiction,0.0,001,25175,srs_agency_header,1.0,1.0,overlap,12:statewide_overlap_layer,16.2349882601412,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
FL05104,FL0510400,FL,12,2024,0.0,1.0,7.0,0.0,0.0,0.0,1.0,9.0,0|0|1|0|1|7|0,state_publication_annual,12.0,7,PORT RICHEY,local_police,3630.0,101,58600,srs_agency_header,1.0,1.0,exclusive,12:municipal:place:1258600,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
IL01800,IL0180000,IL,17,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0|0|0|3|0|0|0,nibrs_srs_equivalent_annual,12.0,7,CUMBERLAND,sheriff,7719.0,035,99035,srs_agency_header,1.0,1.0,exclusive,17:state_nonmunicipal_remainder,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
IL06202,IL0620200,IL,17,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0|0|0|3|0|0|0,nibrs_srs_equivalent_annual,11.0,7,LACON,local_police,1861.0,123,40559,srs_agency_header,1.0,1.0,exclusive,17:municipal:place:1740559,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
IL08228,IL0822800,IL,17,2024,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0|0|0|0|0|9|0,cius_publication_annual,12.0,7,SMITHTON,local_police,3969.0,163,70252,srs_agency_header,1.0,1.0,exclusive,17:municipal:place:1770252,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
IL08446,IL0844600,IL,17,2024,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0|0|0|0|0|9|0,nibrs_srs_equivalent_annual,12.0,7,SOUTHERN IL U SCH OF MED,special_jurisdiction,0.0,167,72000,srs_agency_header,1.0,1.0,overlap,17:statewide_overlap_layer,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
IL09016,IL0901600,IL,17,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0|0|0|3|0|0|0,nibrs_srs_equivalent_annual,12.0,7,PEKIN PARK DISTRICT,special_jurisdiction,0.0,179,58447,srs_agency_header,1.0,1.0,overlap,17:statewide_overlap_layer,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
IL09809,IL0980900,IL,17,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0|0|0|3|0|0|0,nibrs_srs_equivalent_annual,11.0,7,ERIE,local_police,1519.0,195,24374,srs_agency_header,1.0,1.0,exclusive,17:municipal:place:1724374,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY03400,KY0340000,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,12.0,7,FAYETTE,sheriff,0.0,067,46027,srs_agency_header,1.0,1.0,exclusive,21:state_nonmunicipal_remainder,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY04806,KY0480600,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,BENHAM,local_police,484.0,095,05662,srs_agency_header,1.0,1.0,exclusive,21:municipal:place:2105662,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY05501,KY0550100,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,MCKEE,local_police,804.0,109,49116,srs_agency_header,1.0,1.0,exclusive,21:municipal:place:2149116,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY06506,KY0650600,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,12.0,7,LEE COUNTY SCHOOLS,unknown,0.0,129,,fbi_cde_agency_roster,1.0,1.0,overlap,21:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY07103,KY0710300,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,ADAIRVILLE,local_police,893.0,141,00298,srs_agency_header,1.0,1.0,exclusive,21:municipal:place:2100298,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY08408,KY0840800,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,12.0,7,MERCER COUNTY SCHOOLS,unknown,0.0,167,,fbi_cde_agency_roster,1.0,1.0,overlap,21:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY08904,KY0890400,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,POWDERLY,local_police,784.0,177,62652,srs_agency_header,1.0,1.0,exclusive,21:municipal:place:2162652,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY09007,KY0900700,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,12.0,7,BARDSTOWN SCHOOLS,unknown,0.0,179,,fbi_cde_agency_roster,1.0,1.0,overlap,21:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY10004,KY1000400,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,SCIENCE HILL,local_police,697.0,199,68952,srs_agency_header,1.0,1.0,exclusive,21:municipal:place:2168952,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
KY10503,KY1050300,KY,21,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,SADIEVILLE,local_police,378.0,209,67656,srs_agency_header,1.0,1.0,exclusive,21:municipal:place:2167656,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MI31522,MI3152200,MI,26,2024,3.0,0.0,5.0,0.0,0.0,1.0,0.0,9.0,0|1|0|3|0|5|0,cius_publication_annual,12.0,7,LAURIUM,local_police,1942.0,061,46360,srs_agency_header,1.0,1.0,exclusive,26:municipal:place:2646360,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MI66066,MI6606600,MI,26,2024,3.0,0.0,5.0,0.0,0.0,1.0,0.0,9.0,0|1|0|3|0|5|0,nibrs_srs_equivalent_annual,12.0,7,SP ONTONAGON COUNTY,state_law_enforcement,0.0,131,99131,srs_agency_header,1.0,1.0,overlap,26:statewide_overlap_layer,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MN00303,MN0030300,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,AUDUBON,local_police,561.0,005,02728,srs_agency_header,1.0,1.0,exclusive,27:municipal:place:2702728,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MN08003,MN0800300,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,VERNDALE,local_police,574.0,159,66874,srs_agency_header,1.0,1.0,exclusive,27:municipal:place:2766874,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MN08503,MN0850300,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,GOODVIEW,local_police,4149.0,169,24524,srs_agency_header,1.0,1.0,exclusive,27:municipal:place:2724524,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MNGED00,MNGED0000,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,12.0,7,MN DPS ALCOHOL AND GAMBL,unknown,0.0,123,,leaic_crosswalk,1.0,1.0,overlap,27:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MNMHP01,MNMHP0100,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,12.0,7,STATE PATROL OAKDALE,state_law_enforcement,0.0,163,47680,srs_agency_header,1.0,1.0,overlap,27:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MNMHP03,MNMHP0300,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual|srs_return_a_annual,12.0,7,STATE PATROL MARSHALL,state_law_enforcement,0.0,083,40688,srs_agency_header,1.0,1.0,overlap,27:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MNMHP08,MNMHP0800,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,12.0,7,STATE PATROL DETRT LKS,state_law_enforcement,0.0,005,15832,srs_agency_header,1.0,1.0,overlap,27:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MNMHP09,MNMHP0900,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,12.0,7,STATE PATROL THF RVR FL,state_law_enforcement,0.0,113,64570,srs_agency_header,1.0,1.0,overlap,27:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MNMHP11,MNMHP1100,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual|srs_return_a_annual,12.0,7,STATE PATROL DULUTH,state_law_enforcement,0.0,137,17000,srs_agency_header,1.0,1.0,overlap,27:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MNMHP13,MNMHP1300,MN,27,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual|srs_return_a_annual,12.0,7,CAPITOL SECURITY ST PAU,state_law_enforcement,0.0,123,58000,srs_agency_header,1.0,1.0,overlap,27:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MO02622,MO0262200,MO,29,2024,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0|0|0|0|0|9|0,nibrs_srs_equivalent_annual,12.0,7,DPT REV COMPLNC INV BU,unknown,0.0,,,,1.0,1.0,overlap,29:statewide_overlap_layer,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MO09579,MO0957900,MO,29,2024,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0|0|0|0|0|9|0,cius_publication_annual,12.0,7,WARSON WOODS,local_police,1997.0,189,77182,srs_agency_header,1.0,1.0,exclusive,29:municipal:place:2977182,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NH00564,NH0056400,NH,33,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,PIERMONT,local_police,821.0,009,61060,srs_agency_header,1.0,1.0,exclusive,33:municipal:cousub:3300961060,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NH00756,NH0075600,NH,33,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,WILMOT,local_police,1485.0,013,84900,srs_agency_header,1.0,1.0,exclusive,33:municipal:cousub:3301384900,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NH00870,NH0087000,NH,33,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,SOUTH HAMPTON,local_police,904.0,015,71140,srs_agency_header,1.0,1.0,exclusive,33:municipal:cousub:3301571140,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NH00914,NH0091400,NH,33,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,MIDDLETON,local_police,1861.0,017,47700,srs_agency_header,1.0,1.0,exclusive,33:municipal:cousub:3301747700,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NJ00307,NJ0030700,NJ,34,2024,2.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0|0|0|2|0|7|0,cius_publication_annual,12.0,7,CHESTERFIELD TOWNSHIP,local_police,9599.0,005,12670,srs_agency_header,1.0,1.0,exclusive,34:municipal:cousub:3400512670,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NJ00513,NJ0051300,NJ,34,2024,2.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0|0|0|2|0|7|0,nibrs_srs_equivalent_annual,11.0,7,WEST WILDWOOD,local_police,561.0,009,80210,srs_agency_header,1.0,1.0,exclusive,34:municipal:place:3480210,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY00254,NY0025400,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,srs_return_a_annual,1.0,0,BELMONT VILLAGE,local_police,,003,02011,srs_agency_header,1.0,1.0,exclusive,36:municipal:cousub:3600302011,3.9538787064306753,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY00521,NY0052100,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,WEEDSPORT VILLAGE,local_police,1790.0,011,79015,srs_agency_header,1.0,1.0,exclusive,36:municipal:place:3679015,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY00755,NY0075500,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,12.0,7,ELMIRA TOWN,local_police,5665.0,015,24240,srs_agency_header,1.0,1.0,exclusive,36:municipal:cousub:3601524240,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY01002,NY0100200,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,PHILMONT VILLAGE,local_police,1527.0,021,57639,srs_agency_header,1.0,1.0,exclusive,36:municipal:place:3657639,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY01350,NY0135000,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,state_publication_annual,12.0,7,PINE PLAINS TOWN,local_police,2427.0,027,58156,srs_agency_header,1.0,1.0,exclusive,36:municipal:cousub:3602758156,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY02224,NY0222400,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,state_publication_annual,12.0,7,DEXTER VILLAGE,local_police,1029.0,045,20500,srs_agency_header,1.0,1.0,exclusive,36:municipal:place:3620500,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY02226,NY0222600,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,CAPE VINCENT VILLAGE,local_police,739.0,045,12353,srs_agency_header,1.0,1.0,exclusive,36:municipal:place:3612353,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY03123,NY0312300,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,YOUNGSTOWN VILLAGE,local_police,1892.0,063,84143,srs_agency_header,1.0,1.0,exclusive,36:municipal:place:3684143,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY04375,NY0437500,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,state_publication_annual,12.0,7,NYCMTA ROCKLAND COUNTY,special_jurisdiction,,087,99087,srs_agency_header,1.0,1.0,overlap,36:statewide_overlap_layer,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY05144,NY0514400,NY,36,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,state_publication_annual,12.0,7,ASHAROKEN VILLAGE,local_police,650.0,103,02737,srs_agency_header,1.0,1.0,exclusive,36:municipal:place:3602737,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
OH06301,OH0630100,OH,39,2024,0.0,0.0,8.0,0.0,0.0,1.0,0.0,9.0,0|1|0|0|0|8|0,cius_publication_annual,12.0,7,PAULDING,local_police,3578.0,125,61252,srs_agency_header,1.0,1.0,exclusive,39:municipal:place:3961252,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
OH07719,OH0771900,OH,39,2024,0.0,0.0,8.0,0.0,0.0,1.0,0.0,9.0,0|1|0|0|0|8|0,nibrs_srs_equivalent_annual,10.0,7,REMINDERVILLE,local_police,5398.0,153,66152,srs_agency_header,1.0,1.0,exclusive,39:municipal:place:3966152,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00252,PA0025200,PA,42,2024,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0|0|0|0|0|2|1,cius_publication_annual,12.0,7,BLAWNOX,local_police,1417.0,003,07000,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4200307000,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00277,PA0027700,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,srs_return_a_annual,3.0,0,LIBERTY,local_police,2477.0,003,43064,srs_agency_header,1.0,1.0,exclusive,42:municipal:place:4243064,4.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00280,PA0028000,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,srs_return_a_annual,1.0,0,OAKDALE,local_police,1456.0,003,55840,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4200355840,12.567658972039798,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00652,PA0065200,PA,42,2024,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0|0|0|1|0|2|0,cius_publication_annual,12.0,7,WOMELSDORF,local_police,2912.0,011,86056,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4201186056,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00948,PA0094800,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,srs_return_a_annual,2.0,0,COUNTY DET BUCKS COUNTY,special_jurisdiction,0.0,017,99017,srs_agency_header,1.0,1.0,overlap,42:statewide_overlap_layer,6.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01100,PA0110000,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,nibrs_srs_equivalent_annual,7.0,7,CAMBRIA,sheriff,0.0,021,99021,srs_agency_header,1.0,1.0,exclusive,42:state_nonmunicipal_remainder,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01129,PA0112900,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,srs_return_a_annual,2.0,0,FERNDALE,local_police,1520.0,021,25680,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4202125680,6.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01158,PA0115800,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,cius_publication_annual,12.0,7,GALLITZIN TOWNSHIP,local_police,1256.0,021,28336,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4202128336,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01912,PA0191200,PA,42,2024,3.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0|0|0|3|0|6|0,cius_publication_annual,12.0,7,MONTOUR TOWNSHIP,local_police,2167.0,037,50704,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4203750704,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA03006,PA0300600,PA,42,2024,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0|0|0|0|0|2|1,cius_publication_annual,12.0,7,WAYNE TOWNSHIP,local_police,1183.0,059,81768,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4205981768,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA03301,PA0330100,PA,42,2024,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0|0|0|1|0|2|0,cius_publication_annual,12.0,7,BROCKWAY,local_police,2240.0,065,08960,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4206508960,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA03509,PA0350900,PA,42,2024,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0|0|0|1|0|2|0,cius_publication_annual,12.0,7,JERMYN,local_police,2144.0,069,38096,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4206938096,3.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA03600,PA0360000,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,srs_return_a_annual,12.0,7,LANCASTER,sheriff,0.0,071,99071,srs_agency_header,1.0,1.0,exclusive,42:state_nonmunicipal_remainder,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA03710,PA0371000,PA,42,2024,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0|0|0|0|0|2|1,srs_return_a_annual,4.0,0,WAYNE TOWNSHIP,local_police,2521.0,073,81776,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4207323304,9.569907735982966,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA03720,PA0372000,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,srs_return_a_annual,12.0,7,MAHONING TOWNSHIP,local_police,2911.0,073,46648,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4207346648,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA03825,PA0382500,PA,42,2024,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0|0|0|1|0|2|0,srs_return_a_annual,4.0,0,FORT INDIANTOWN GAP,local_police,0.0,075,26812,srs_agency_header,1.0,1.0,exclusive,42:municipal:place:4226812,9.749673202614378,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA04800,PA0480000,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,srs_return_a_annual,2.0,0,NORTHAMPTON,sheriff,0.0,095,99095,srs_agency_header,1.0,1.0,exclusive,42:state_nonmunicipal_remainder,6.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA05001,PA0500100,PA,42,2024,3.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0|0|0|3|0|6|0,cius_publication_annual,12.0,7,MARYSVILLE,local_police,2684.0,099,47968,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4209947968,9.0,2,2,18.0,9.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA05400,PA0540000,PA,42,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0|0|0|1|0|0|0,srs_return_a_annual,1.0,0,SCHUYLKILL,sheriff,0.0,107,99107,srs_agency_header,1.0,1.0,exclusive,42:state_nonmunicipal_remainder,12.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA06765,PA0676500,PA,42,2024,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0|0|0|0|0|2|1,srs_return_a_annual,3.0,0,PA STATE UNIV YORK,special_jurisdiction,0.0,133,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,12.0,4,4,12.0,3.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
TN00302,TN0030200,TN,47,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,5.0,7,BIG SANDY,local_police,522.0,005,05860,srs_agency_header,1.0,1.0,exclusive,47:municipal:place:4705860,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
TN01703,TN0170300,TN,47,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,5.0,7,FRIENDSHIP,local_police,679.0,033,27960,srs_agency_header,1.0,1.0,exclusive,47:municipal:place:4727960,1.0,10,10,10.0,1.0,9.0,T2_different_ori7_identical_signature,identical_7_offense_vector
