ori9,year,offense,count,quarters_reported,months_reported,state_abbr,source,raw_data_source,assumed_months_reported
MS0070100,2024,aggravated_assault,5.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0070100,2024,burglary,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0070100,2024,larceny,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0070100,2024,rape,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0070400,2024,aggravated_assault,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0070400,2024,burglary,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0070400,2024,larceny,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0080000,2024,aggravated_assault,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0080000,2024,burglary,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0080000,2024,larceny,10.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0080000,2024,motor_vehicle_theft,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0080000,2024,rape,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0090000,2024,aggravated_assault,7.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0090000,2024,burglary,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0090000,2024,larceny,4.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0090000,2024,motor_vehicle_theft,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0090000,2024,rape,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0100000,2024,aggravated_assault,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0100000,2024,burglary,4.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0100000,2024,larceny,10.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0100000,2024,motor_vehicle_theft,5.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0100000,2024,rape,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0100100,2024,burglary,9.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
