ori9,state_abbr,state_fips,year,total,max_months,min_months,n_usable,n_partial,sources,own_history_median_full_year_total,own_history_full_years,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,population,rate_per_100k,own_history_ratio,pop_band,peer_median_rate_per_100k,peer_rate_ratio,screen_own_history,screen_peer_floor,REVIEW_both,REVIEW_peer_only_no_history
IL0167B00,IL,17,2024,37.0,12.0,12.0,7,0,cius_publication_annual,134.0,5.0,WESTERN SPRINGS,local_police,13554.0,031,80242,srs_agency_header,13554.0,272.98214549210564,0.27611940298507465,"(10000.0, 25000.0]",1325.9538046215312,0.20587606034285885,True,True,True,False
WV0320000,WV,54,2024,9.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,29.0,4.0,MONROE,sheriff,13152.0,063,99063,srs_agency_header,13152.0,68.43065693430657,0.3103448275862069,"(10000.0, 25000.0]",629.8788578464321,0.10864098085189317,True,True,True,False
IL0790000,IL,17,2024,3.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,20.0,3.0,RANDOLPH,sheriff,13132.0,157,99157,srs_agency_header,13132.0,22.844958879074017,0.15,"(10000.0, 25000.0]",629.8788578464321,0.03626881358930092,True,True,True,False
GA0530000,GA,13,2024,1.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,217.0,1.0,EMANUEL,sheriff,12729.0,107,99107,srs_agency_header,12729.0,7.85607667530835,0.004608294930875576,"(10000.0, 25000.0]",629.8788578464321,0.01247236127621179,True,True,True,False
IL0670000,IL,17,2024,9.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,50.0,6.0,MONROE,sheriff,12698.0,133,99133,srs_agency_header,12698.0,70.87730351236415,0.18,"(10000.0, 25000.0]",629.8788578464321,0.11252529375996999,True,True,True,False
ME0100600,ME,23,2024,19.0,12.0,12.0,7,0,cius_publication_annual,77.0,6.0,ORONO,local_police,12641.0,019,55565,srs_agency_header,12641.0,150.30456451230125,0.24675324675324675,"(10000.0, 25000.0]",1325.9538046215312,0.11335580771247374,True,True,True,False
IN0380000,IN,18,2024,13.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,70.5,2.0,JAY,sheriff,12598.0,075,99075,srs_agency_header,12598.0,103.19098269566598,0.18439716312056736,"(10000.0, 25000.0]",629.8788578464321,0.16382671272453553,True,True,True,False
IA0600000,IA,19,2024,19.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,68.0,5.0,LYON,sheriff,12569.0,119,99119,srs_agency_header,12569.0,151.16556607526454,0.27941176470588236,"(10000.0, 25000.0]",629.8788578464321,0.23999149073220605,True,True,True,False
TN0080000,TN,47,2024,18.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,58.0,5.0,CANNON,sheriff,12407.0,015,99015,srs_agency_header,12407.0,145.0793906665592,0.3103448275862069,"(10000.0, 25000.0]",629.8788578464321,0.23032903686049794,True,True,True,False
MN0130500,MN,27,2024,32.0,12.0,12.0,7,0,cius_publication_annual,184.5,6.0,NORTH BRANCH,local_police,12137.0,025,46798,srs_agency_header,12137.0,263.6565872950482,0.17344173441734417,"(10000.0, 25000.0]",1325.9538046215312,0.1988429660038602,True,True,True,False
MS0210000,MS,28,2024,12.0,12.0,6.0,7,0,nibrs_srs_equivalent_annual|state_publication_annual,48.0,3.0,GREENE,sheriff,12129.0,041,99041,srs_agency_header,12129.0,98.93643334157804,0.25,"(10000.0, 25000.0]",629.8788578464321,0.15707216095463755,True,True,True,False
FL0280300,FL,12,2024,1.0,12.0,12.0,7,0,state_publication_annual,511.0,3.0,SEBRING,local_police,11767.0,055,64875,srs_agency_header,11767.0,8.498342823149486,0.0019569471624266144,"(10000.0, 25000.0]",1325.9538046215312,0.0064092299396321575,True,True,True,False
KY0060000,KY,21,2024,14.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,45.5,6.0,BATH,sheriff,11625.0,011,99011,srs_agency_header,11625.0,120.43010752688173,0.3076923076923077,"(10000.0, 25000.0]",629.8788578464321,0.19119566568504073,True,True,True,False
KY0800000,KY,21,2024,1.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,18.0,6.0,MARTIN,sheriff,11252.0,159,99159,srs_agency_header,11252.0,8.887308922858159,0.05555555555555555,"(10000.0, 25000.0]",629.8788578464321,0.014109552673737993,True,True,True,False
FL0570100,FL,12,2024,37.0,12.0,12.0,7,0,state_publication_annual,201.0,5.0,MILTON,local_police,11194.0,113,45750,srs_agency_header,11194.0,330.534214757906,0.18407960199004975,"(10000.0, 25000.0]",1325.9538046215312,0.2492803396361541,True,True,True,False
PA0380600,PA,42,2024,17.0,12.0,12.0,7,0,cius_publication_annual,65.0,1.0,SOUTH LEBANON TOWNSHIP,local_police,10598.0,075,72288,srs_agency_header,10598.0,160.4076240800151,0.26153846153846155,"(10000.0, 25000.0]",1325.9538046215312,0.12097527343782574,True,True,True,False
KY0940000,KY,21,2024,13.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,38.0,6.0,OWEN,sheriff,9793.0,187,99187,srs_agency_header,9793.0,132.7478811395895,0.34210526315789475,"(5000.0, 10000.0]",593.5221298965575,0.2236612157371884,True,True,True,False
IL0340000,IL,17,2024,14.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,47.0,5.0,HANCOCK,sheriff,9612.0,067,99067,srs_agency_header,9612.0,145.65126924677486,0.2978723404255319,"(5000.0, 10000.0]",593.5221298965575,0.24540158135663753,True,True,True,False
FL0030500,FL,12,2024,7.0,12.0,12.0,7,0,state_publication_annual,305.0,5.0,SPRINGFIELD,local_police,9517.0,005,68275,srs_agency_header,9517.0,73.55259010192287,0.022950819672131147,"(5000.0, 10000.0]",1096.8692275851467,0.06705684529399673,True,True,True,False
IL0500100,IL,17,2024,19.0,12.0,12.0,7,0,cius_publication_annual,67.0,5.0,LA SALLE,local_police,9450.0,099,42184,srs_agency_header,9450.0,201.05820105820104,0.2835820895522388,"(5000.0, 10000.0]",1096.8692275851467,0.1833018886862641,True,True,True,False
MN0450000,MN,27,2024,10.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,31.0,5.0,MARSHALL,sheriff,9366.0,089,99089,srs_agency_header,9366.0,106.76916506512919,0.3225806451612903,"(5000.0, 10000.0]",593.5221298965575,0.17989079039687625,True,True,True,False
NY0355800,NY,36,2024,0.0,12.0,12.0,7,0,cius_publication_annual,1.0,5.0,HIGHLANDS TOWN,local_police,9199.0,071,34550,srs_agency_header,9199.0,0.0,0.0,"(5000.0, 10000.0]",1096.8692275851467,0.0,True,True,True,False
PA0092300,PA,42,2024,11.0,12.0,12.0,7,0,cius_publication_annual,40.0,2.0,UPPER MAKEFIELD TOWNSHIP,local_police,8848.0,017,79128,srs_agency_header,8848.0,124.32188065099457,0.275,"(5000.0, 10000.0]",1096.8692275851467,0.11334248196997926,True,True,True,False
PA0040900,PA,42,2024,13.0,12.0,12.0,7,0,cius_publication_annual,52.0,1.0,BRIGHTON TOWNSHIP,local_police,8762.0,007,08680,srs_agency_header,8762.0,148.3679525222552,0.25,"(5000.0, 10000.0]",1096.8692275851467,0.13526494206506293,True,True,True,False
MI2712700,MI,26,2024,9.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,31.0,6.0,GOGEBIC,sheriff,8686.0,053,99053,srs_agency_header,8686.0,103.6150126640571,0.2903225806451613,"(5000.0, 10000.0]",593.5221298965575,0.17457649419426993,True,True,True,False
