ori9,state_abbr,2018,2019,2020,2021,2022,2023,2024,max_months,min_months,n_usable,n_partial,src,baseline_median_2021_2023,ratio_2024_vs_baseline,estimated_2024,fill_sources,agency_name_std,agency_type_norm,population_latest_nibrs,published_as_full_year
NC0430400,NC,142.0,111.0,94.0,85.0,111.0,111.0,34.0,4.0,4.0,2,5,nibrs_srs_equivalent_annual|srs_return_a_annual,111.0,0.3063063063063063,102.0,observed|true_partial_month_ratio,LILLINGTON,local_police,4648.0,False
CO0280000,CO,142.0,175.0,200.0,214.0,109.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,109.0,0.0,181.3773028667131,hist_median,HUERFANO,sheriff,6331.0,False
NC0780200,NC,97.0,94.0,93.0,118.0,109.0,73.0,26.0,12.0,12.0,7,0,cius_publication_annual,109.0,0.23853211009174313,26.0,observed,MAXTON,local_police,2375.0,True
NC0030000,NC,38.0,91.0,117.0,61.0,108.0,108.0,32.0,9.0,9.0,3,4,nibrs_srs_equivalent_annual|srs_return_a_annual,108.0,0.2962962962962963,42.666666666666664,observed|true_partial_month_ratio,ALLEGHANY,sheriff,9662.0,False
ID0030000,ID,51.0,42.0,57.0,102.0,114.0,82.0,27.0,4.0,4.0,3,4,nibrs_srs_equivalent_annual|srs_return_a_annual,102.0,0.2647058823529412,81.0,observed|true_partial_month_ratio,BANNOCK,sheriff,18131.0,False
OH0140100,OH,162.0,102.0,97.0,102.0,122.0,81.0,35.0,12.0,12.0,7,0,cius_publication_annual,102.0,0.3431372549019608,35.0,observed,BLANCHESTER,local_police,4264.0,True
CA0409945,CA,,,,18.0,102.0,101.0,8.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,101.0,0.07920792079207921,8.0,observed,HIGHWAY PATROL SAN LUIS OBISPO AREA OFFICE,state_law_enforcement,0.0,True
MS0160000,MS,0.0,0.0,0.0,0.0,146.0,99.0,0.0,0.0,0.0,0,0,srs_return_a_annual,99.0,0.0,87.12857268311164,carryforward_state_trend,COVINGTON,sheriff,15610.0,False
TN0270300,TN,111.0,211.0,190.0,185.0,99.0,76.0,30.0,10.0,10.0,7,0,nibrs_srs_equivalent_annual,99.0,0.30303030303030304,30.0,observed,TRENTON,local_police,4243.0,False
AR0300000,AR,0.0,0.0,0.0,146.0,97.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,97.0,0.0,92.8718629766802,hist_median,HOT SPRING,sheriff,22866.0,False
AL0640500,AL,49.0,41.0,39.0,96.0,69.0,158.0,24.0,12.0,12.0,7,0,cius_publication_annual,96.0,0.25,24.0,observed,SUMITON,local_police,2513.0,True
FL0032600,FL,160.0,121.0,78.0,0.0,96.0,152.0,2.0,12.0,12.0,7,0,state_publication_annual,96.0,0.020833333333333332,2.0,observed,PARKER,local_police,5096.0,True
NC0410400,NC,86.0,87.0,87.0,82.0,96.0,113.0,4.0,1.0,1.0,6,1,nibrs_srs_equivalent_annual|srs_return_a_annual,96.0,0.041666666666666664,48.0,observed|true_partial_month_ratio,NORTH CAROLINA A T ST UN,special_jurisdiction,0.0,False
OR0070000,OR,180.0,144.0,123.0,130.0,95.0,13.0,21.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,95.0,0.22105263157894736,21.0,observed,CROOK,sheriff,15894.0,True
AL0340100,AL,124.0,93.0,43.0,201.0,95.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,95.0,0.0,111.0088344442506,hist_median,GENEVA,local_police,4353.0,False
NJ0180500,NJ,84.0,87.0,81.0,81.0,111.0,93.0,26.0,4.0,2.0,4,3,nibrs_srs_equivalent_annual|srs_return_a_annual,93.0,0.27956989247311825,78.0,observed|true_partial_month_ratio,BRANCHBURG TOWNSHIP,local_police,15751.0,False
OH0521400,OH,100.0,129.0,102.0,98.0,92.0,52.0,0.0,0.0,0.0,0,0,srs_return_a_annual,92.0,0.0,84.1120777229784,hist_median|trend_log_linear,MEDINA TOWNSHIP,local_police,9380.0,False
ID0340000,ID,164.0,94.0,117.0,91.0,116.0,38.0,14.0,4.0,4.0,4,3,nibrs_srs_equivalent_annual|srs_return_a_annual,91.0,0.15384615384615385,42.0,observed|true_partial_month_ratio,MINIDOKA,sheriff,12585.0,False
NY328SG00,NY,128.0,105.0,106.0,0.0,100.0,91.0,0.0,0.0,0.0,0,0,srs_return_a_annual,91.0,0.0,85.77815251963872,trend_log_linear,SP MONTGOMERY CNTY,state_law_enforcement,0.0,False
NC0360700,NC,131.0,74.0,97.0,96.0,76.0,89.0,0.0,0.0,0.0,0,0,srs_return_a_annual,89.0,0.0,75.79788525083838,trend_log_linear,STANLEY,local_police,4095.0,False
NY327SE00,NY,99.0,131.0,94.0,0.0,92.0,88.0,0.0,0.0,0.0,0,0,srs_return_a_annual,88.0,0.0,91.31658213218961,trend_log_linear,SP MONROE COUNTY,state_law_enforcement,0.0,False
AR0380100,AR,89.0,80.0,83.0,97.0,70.0,88.0,27.0,6.0,6.0,1,6,nibrs_srs_equivalent_annual|srs_return_a_annual,88.0,0.3068181818181818,54.0,observed|true_partial_month_ratio,WALNUT RIDGE,local_police,5575.0,False
GA0250600,GA,170.0,89.0,93.0,159.0,88.0,52.0,25.0,8.0,8.0,2,5,nibrs_srs_equivalent_annual|srs_return_a_annual,88.0,0.2840909090909091,37.5,observed|true_partial_month_ratio,TYBEE ISLAND,local_police,3148.0,False
CA0169940,CA,,,,28.0,107.0,88.0,1.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,88.0,0.011363636363636364,1.0,observed,HIGHWAY PATROL HANFORD AREA OFFICE,state_law_enforcement,0.0,True
