"Crimes by Offense and Town"
"Current date: 8/2/2026 12:43:17 AM (Eastern Daylight Time)"
"Data source: Connecticut_SS, Offense Data"
"Jurisdiction by Type: Connecticut"
"Offense Type","Incident Date","Jurisdiction by Geography","Number of Crimes",
"All Offense Types","2021","Enfield Police Department","1,275"
"All Offense Types","2021","Essex","44"
"All Offense Types","2021","CSP - Essex","44"
"All Offense Types","2021","Fairfield","1,645"
"All Offense Types","2021","CSP - Fairfield","22"
"All Offense Types","2021","Fairfield Police Department","1,623"
"All Offense Types","2021","Farmington","659"
"All Offense Types","2021","CSP - Farmington","1"
"All Offense Types","2021","Farmington Police Department","658"
"All Offense Types","2021","Franklin","26"
"All Offense Types","2021","CSP - Franklin","26"
"All Offense Types","2021","Glastonbury","988"
"All Offense Types","2021","CSP - Glastonbury","5"
"All Offense Types","2021","Glastonbury Police Department","983"
"All Offense Types","2021","Goshen","15"
"All Offense Types","2021","CSP - Goshen","15"
"All Offense Types","2021","Granby","189"
"All Offense Types","2021","CSP - Granby","1"
"All Offense Types","2021","Granby Police Department","188"
"All Offense Types","2021","Greenwich","1,007"
"All Offense Types","2021","CSP - Greenwich","9"
"All Offense Types","2021","Greenwich Police Department","998"
"All Offense Types","2021","Griswold","91"
"All Offense Types","2021","CSP - Griswold","91"
"All Offense Types","2021","Groton","1,175"
"All Offense Types","2021","CSP - Groton","5"
"All Offense Types","2021","Groton City","481"
"All Offense Types","2021","Groton Long Point","4"
"All Offense Types","2021","Groton Town","685"
"All Offense Types","2021","Guilford","485"
"All Offense Types","2021","CSP - Guilford","2"
"All Offense Types","2021","Guilford Police Department","483"
"All Offense Types","2021","Haddam","87"
"All Offense Types","2021","CSP - Haddam","87"
"All Offense Types","2021","Hamden","2,611"
"All Offense Types","2021","CSP - Hamden","4"
"All Offense Types","2021","Hamden Police Department","2,607"
"All Offense Types","2021","Hampton","16"
"All Offense Types","2021","CSP - Hampton","16"
"All Offense Types","2021","Hartford","9,741"
"All Offense Types","2021","CSP - Hartford","167"
"All Offense Types","2021","Hartford Police Department","9,569"
"All Offense Types","2021","State Capitol Police","5"
"All Offense Types","2021","Hartland","11"
"All Offense Types","2021","CSP - Hartland","11"
"All Offense Types","2021","Harwinton","39"
"All Offense Types","2021","CSP - Harwinton","39"
"All Offense Types","2021","Hebron","32"
"All Offense Types","2021","CSP - Hebron","32"
"All Offense Types","2021","Kent","17"
"All Offense Types","2021","CSP - Kent","17"
"All Offense Types","2021","Killingly","287"
"All Offense Types","2021","CSP - Killingly","287"
"All Offense Types","2021","Killingworth","35"
"All Offense Types","2021","CSP - Killingworth","35"
"All Offense Types","2021","Lebanon","19"
"All Offense Types","2021","CSP - Lebanon","19"
"All Offense Types","2021","Ledyard","443"
"All Offense Types","2021","CSP - Ledyard","2"
"All Offense Types","2021","Foxwoods Casino (now Mashantucket)-prior to 2017",""
"All Offense Types","2021","Ledyard Police Department","197"
"All Offense Types","2021","Mashantucket Pequot Tribal","244"
"All Offense Types","2021","Lisbon","88"
"All Offense Types","2021","CSP - Lisbon","88"
"All Offense Types","2021","Litchfield","88"
"All Offense Types","2021","CSP - Litchfield","88"
"All Offense Types","2021","Lyme","12"
"All Offense Types","2021","CSP - Lyme","12"
"All Offense Types","2021","Madison","161"
"All Offense Types","2021","CSP - Madison","11"
"All Offense Types","2021","Madison Police Department","150"
"All Offense Types","2021","Manchester","4,134"
"All Offense Types","2021","CSP - Manchester","20"
"All Offense Types","2021","Manchester Police Department","4,114"
"All Offense Types","2021","Mansfield","306"
"All Offense Types","2021","CSP - Mansfield","115"
"All Offense Types","2021","University of Connecticut -  Health Center-Obsolete",""
"All Offense Types","2021","University of Connecticut - Storrs","191"
"All Offense Types","2021","Marlborough","46"
"All Offense Types","2021","CSP - Marlborough","46"
"All Offense Types","2021","Meriden","3,178"
"All Offense Types","2021","CSP - Meriden","27"
"All Offense Types","2021","Meriden Police Department","3,151"
"All Offense Types","2021","Middlebury","157"
"All Offense Types","2021","CSP - Middlebury","7"
"All Offense Types","2021","Middlebury Police Department","150"
"All Offense Types","2021","Middlefield","28"
"All Offense Types","2021","CSP - Middlefield","28"
"All Offense Types","2021","Middletown","1,430"
"All Offense Types","2021","CSP - Middletown","183"
"All Offense Types","2021","Middletown Police Department","1,247"
"All Offense Types","2021","Milford","1,905"
"All Offense Types","2021","CSP - Milford","34"
"All Offense Types","2021","Milford Police Department","1,871"
"All Offense Types","2021","Monroe","294"
"All Offense Types","2021","CSP - Monroe",""
"All Offense Types","2021","Monroe Police Department","294"
"All Offense Types","2021","Montville","499"
"All Offense Types","2021","CSP - Montville","204"
"All Offense Types","2021","Mohegan Sun Casino-prior to 2016",""
"All Offense Types","2021","Mohegan Tribal","293"
"All Offense Types","2021","Montville PD-Obsolete",""
"All Offense Types","2021","Montville Police Department","2"
"All Offense Types","2021","Morris","21"
"All Offense Types","2021","CSP - Morris","21"
"All Offense Types","2021","Naugatuck","1,078"
"All Offense Types","2021","CSP - Naugatuck","10"
"All Offense Types","2021","Naugatuck Police Department","1,068"
"All Offense Types","2021","New Britain","5,566"
"All Offense Types","2021","Central Connecticut State University","48"
"All Offense Types","2021","CSP - New Britain","28"
"All Offense Types","2021","New Britain Police Department","5,490"
"All Offense Types","2021","New Canaan","255"
"All Offense Types","2021","CSP - New Canaan","2"
"All Offense Types","2021","New Canaan Police Department","253"
"All Offense Types","2021","New Fairfield","30"
"All Offense Types","2021","CSP - New Fairfield","30"
"All Offense Types","2021","New Hartford","47"
"All Offense Types","2021","CSP - New Hartford","47"
"All Offense Types","2021","New Haven","14,313"
"All Offense Types","2021","CSP - New Haven","70"
"All Offense Types","2021","New Haven Police Department","13,944"
"All Offense Types","2021","Southern Connecticut State University","17"
"All Offense Types","2021","Yale University","282"
"All Offense Types","2021","Yale University SRS",""
"All Offense Types","2021","Newington","1,605"
"All Offense Types","2021","CSP - Newington","2"
"All Offense Types","2021","Newington Police Department","1,603"
"All Offense Types","2021","New London","1,765"
"All Offense Types","2021","CSP - New London","2"
"All Offense Types","2021","New London Police Department","1,763"
"All Offense Types","2021","New Milford","653"
"All Offense Types","2021","CSP - New Milford","6"
"All Offense Types","2021","New Milford Police Department","647"
"All Offense Types","2021","Newtown","202"
"All Offense Types","2021","CSP - Newtown","19"
"All Offense Types","2021","Newtown Police Department","183"
"All Offense Types","2021","Norfolk","9"
"All Offense Types","2021","CSP - Norfolk","9"
"All Offense Types","2021","North Branford","326"
"All Offense Types","2021","CSP - North Branford",""
"All Offense Types","2021","North Branford Police Department","326"
"All Offense Types","2021","North Canaan","36"
"All Offense Types","2021","CSP - North Canaan","36"
"All Offense Types","2021","North Haven","776"
"All Offense Types","2021","CSP - North Haven","7"
"All Offense Types","2021","North Haven Police Department","769"
"All Offense Types","2021","North Stonington","38"
"All Offense Types","2021","CSP - North Stonington","38"
"All Offense Types","2021","Norwalk","2,901"
"All Offense Types","2021","CSP - Norwalk","6"
"All Offense Types","2021","Norwalk Police Department","2,895"
"All Offense Types","2021","Norwich","2,315"
"All Offense Types","2021","CSP - Norwich","17"
"All Offense Types","2021","Norwich Police Department","2,298"
