priority_rank,review_lane,state_abbr,state_fips,ori9,agency_name,agency_type_name,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,official_repo_presence_flag,official_repo_transition_flag,mismatch_reason,state_priority_score_abs
333,present_but_no_2024_observation,CA,06,CA0090300,California Department of Forestry and Fire Protection: Amador-El Dorado,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
334,present_but_no_2024_observation,CA,06,CA0101900,"California Department of Forestry and Fire Protection, Fresno-Kings",Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
335,present_but_no_2024_observation,CA,06,CA0102600,California Department of Forestry and Fire Protection: Southern Region,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
336,present_but_no_2024_observation,CA,06,CA0121600,California Department of Forestry and Fire Protection: Humboldt,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
337,present_but_no_2024_observation,CA,06,CA0150100,Arvin Police Department,City,False,False,,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
338,missing_in_repo_master,CA,06,CA0159912,Highway Patrol: Kern County Auto Theft Task Force,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
339,missing_in_repo_master,CA,06,CA0159924,Highway Patrol: Grapevine Commercial Vehicle Enforcement Facility,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
340,missing_in_repo_master,CA,06,CA0159930,Highway Patrol: Mojave Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
341,present_but_no_2024_observation,CA,06,CA0180500,California Department of Forestry and Fire Protection: Lassen-Modoc,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
342,present_but_no_2024_observation,CA,06,CA0190D0X,La Habra Heights Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
343,present_but_no_2024_observation,CA,06,CA0190X0X,Westlake Village Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
344,present_but_no_2024_observation,CA,06,CA0191H0X,West Hollywood Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
345,present_but_no_2024_observation,CA,06,CA0191N00,Baldwin Park Unified School District,Other,False,False,,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
346,present_but_no_2024_observation,CA,06,CA0191R0X,Santa Clarita Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
347,present_but_no_2024_observation,CA,06,CA0191W0X,Diamond Bar Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
348,present_but_no_2024_observation,CA,06,CA0192H0X,Calabasas Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
349,present_but_no_2024_observation,CA,06,CA0192J0X,Malibu Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
350,present_but_no_2024_observation,CA,06,CA0192U0X,Los Angeles Transportation Services Bureau,Other,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
351,missing_in_repo_master,CA,,CA0198800,Los Angeles Port Police,Other,True,True,2024-10-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
352,present_but_no_2024_observation,CA,06,CA019900X,La Canada Flintridge Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
353,present_but_no_2024_observation,CA,06,CA019960X,Lancaster Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
